entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity,direction,fvg_range
2017-09-20 10:46:00-04:00,2017-09-20 16:00:00-04:00,short,137.22,137.1,eod,1.3721999999999923,709,85.08000000000322,17.002327644,68.07767235600322,97344.57801412974,97412.65568648574,short,"[137.24, 137.28]"
2017-09-22 15:45:00-04:00,2017-09-22 16:00:00-04:00,long,136.08,136.13,eod,1.3608000000000118,715,35.74999999998781,17.12454601,18.625453989987808,97412.65568648574,97431.28114047572,long,"[135.98, 136.05]"
2017-10-03 12:13:00-04:00,2017-10-03 16:00:00-04:00,long,137.56,137.56,eod,1.3755999999999915,708,0.0,16.985038944,-16.985038944,97431.28114047572,97414.29610153173,long,"[137.46, 137.53]"
2017-10-04 10:33:00-04:00,2017-10-04 16:00:00-04:00,short,137.28,137.68,eod,1.3728000000000122,709,-283.600000000004,17.003510256,-300.60351025600403,97414.29610153173,97113.69259127573,short,"[137.34, 137.42]"
2017-10-06 11:05:00-04:00,2017-10-06 16:00:00-04:00,long,138.82,139.21,eod,1.3882000000000119,699,272.61000000001036,16.801190562000002,255.80880943801037,97113.69259127573,97369.50140071374,long,"[138.76, 138.79]"
2017-10-09 12:29:00-04:00,2017-10-09 16:00:00-04:00,short,139.28,139.09,eod,1.392799999999994,699,132.8099999999984,16.802550816,116.0074491839984,97369.50140071374,97485.50884989773,short,"[139.28, 139.3]"
2017-10-20 10:44:00-04:00,2017-10-20 16:00:00-04:00,short,140.23,140.28,eod,1.4022999999999968,695,-34.7500000000079,16.72475383,-51.4747538300079,97485.50884989773,97434.03409606771,short,"[140.27, 140.3]"
2017-11-06 10:21:00-05:00,2017-11-06 16:00:00-05:00,long,144.79,144.98,eod,1.4479000000000042,672,127.67999999999847,16.260010368,111.41998963199848,97434.03409606771,97545.4540856997,long,"[144.73, 144.75]"
2017-11-10 12:33:00-05:00,2017-11-10 16:00:00-05:00,long,144.77,144.92,eod,1.4476999999999975,673,100.9499999999847,16.283084248,84.6669157519847,97545.4540856997,97630.12100145168,long,"[144.71, 144.74]"
2017-11-28 10:28:00-05:00,2017-11-28 16:00:00-05:00,short,147.46,147.62,eod,1.4746000000000095,662,-105.91999999999774,16.063686856,-121.98368685599775,97630.12100145168,97508.13731459569,short,"[147.46, 147.49]"
2017-11-28 14:52:00-05:00,2017-11-28 16:00:00-05:00,long,147.63,147.62,eod,1.476300000000009,660,-6.599999999993997,16.01809176,-22.618091759993998,97508.13731459569,97485.51922283569,long,"[147.52, 147.61]"
2017-12-13 15:48:00-05:00,2017-12-13 16:00:00-05:00,short,147.26,147.08,eod,1.4726,661,118.97999999998572,16.035746308,102.94425369198572,97485.51922283569,97588.46347652767,short,"[147.3, 147.32]"
2017-12-21 10:06:00-05:00,2017-12-21 16:00:00-05:00,short,148.91,148.87,eod,1.4891000000000076,655,26.199999999994787,15.92023219,10.279767809994787,97588.46347652767,97598.74324433766,short,"[148.93, 149.04]"
2017-12-22 10:09:00-05:00,2017-12-22 16:00:00-05:00,long,148.69,148.64,eod,1.4868999999999915,656,-32.80000000000746,15.939613952000002,-48.73961395200746,97598.74324433766,97550.00363038565,long,"[148.62, 148.63]"
2018-01-10 10:49:00-05:00,2018-01-10 16:00:00-05:00,short,152.59,153.26,eod,1.5259000000000071,639,-428.12999999999204,15.596713278000001,-443.726713277992,97550.00363038565,97106.27691710765,short,"[152.64, 152.67]"
2018-01-16 11:07:00-05:00,2018-01-16 16:00:00-05:00,short,156.37,155.13,eod,1.5637000000000114,621,770.0400000000056,15.222626406,754.8173735940056,97106.27691710765,97861.09429070166,short,"[156.39, 156.45]"
2018-01-17 09:46:00-05:00,2018-01-17 14:36:00-05:00,short,155.01,156.5601,stop,1.5501000000000147,631,-978.1131000000092,15.443900418000002,-993.5570004180092,97861.09429070166,96867.53729028365,short,"[155.24, 155.38]"
2018-02-06 11:53:00-05:00,2018-02-06 15:01:00-05:00,long,149.82,152.0673,target,1.498199999999997,646,1451.7557999999972,15.758182227239999,1435.9976177727572,96867.53729028365,98303.5349080564,long,"[149.45, 149.67]"
2018-02-07 14:10:00-05:00,2018-02-07 16:00:00-05:00,short,152.2,151.47,eod,1.5219999999999914,645,470.84999999999343,15.7361682,455.1138317999934,98303.5349080564,98758.64873985639,short,"[152.33, 152.59]"
2018-02-09 10:05:00-05:00,2018-02-09 11:59:00-05:00,short,146.8,144.598,target,1.4679999999999893,672,1479.7439999999988,16.294010880000002,1463.4499891199987,98758.64873985639,100222.09872897639,short,"[147.0, 147.08]"
2018-02-12 11:42:00-05:00,2018-02-12 16:00:00-05:00,long,149.84,150.01,eod,1.4984000000000037,668,113.55999999999165,16.256633704,97.30336629599165,100222.09872897639,100319.40209527238,long,"[149.53, 149.65]"
2018-02-22 10:40:00-05:00,2018-02-22 13:49:00-05:00,long,157.03,155.4597,stop,1.5703000000000031,638,-1001.8514000000021,15.62320342308,-1017.474603423082,100319.40209527238,99301.9274918493,long,"[156.79, 156.86]"
2018-02-22 14:44:00-05:00,2018-02-22 16:00:00-05:00,short,156.15,155.92,eod,1.5614999999999952,635,146.05000000001155,15.561925950000001,130.48807405001156,99301.9274918493,99432.41556589931,short,"[156.22, 156.34]"
2018-03-05 10:57:00-05:00,2018-03-05 16:00:00-05:00,long,156.9,158.48,eod,1.5689999999999884,633,1000.1399999999899,15.553913952,984.5860860479899,99432.41556589931,100417.0016519473,long,"[156.55, 156.64]"
2018-03-07 10:34:00-05:00,2018-03-07 16:00:00-05:00,long,158.9,159.59,eod,1.5889999999999986,631,435.38999999999857,15.524241862000002,419.86575813799857,100417.0016519473,100836.8674100853,long,"[158.53, 158.71]"
2018-03-14 09:57:00-04:00,2018-03-14 16:00:00-04:00,short,162.49,162.12,eod,1.6248999999999967,620,229.40000000000282,15.303597640000001,214.09640236000283,100836.8674100853,101050.9638124453,short,"[162.57, 162.71]"
2018-03-15 10:57:00-04:00,2018-03-15 16:00:00-04:00,long,162.57,162.15,eod,1.6256999999999948,621,-260.8199999999922,15.32241117,-276.1424111699922,101050.9638124453,100774.82140127532,long,"[162.41, 162.46]"
