entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,exposure
1997-11-30,1997-12-31,long,SP500_VIX_sized,100.0,102.52,0.0252,monthly_rebalance,1.5
1997-12-31,1998-01-31,long,SP500_VIX_sized,100.0,100.57,0.0057,monthly_rebalance,1.0
1998-01-31,1998-02-28,long,SP500_VIX_sized,100.0,107.43,0.0743,monthly_rebalance,1.0
1998-02-28,1998-03-31,long,SP500_VIX_sized,100.0,105.15,0.0515,monthly_rebalance,1.0
1998-03-31,1998-04-30,long,SP500_VIX_sized,100.0,101.17,0.0117,monthly_rebalance,1.0
1998-04-30,1998-05-31,long,SP500_VIX_sized,100.0,97.35,-0.0265,monthly_rebalance,1.0
1998-05-31,1998-06-30,long,SP500_VIX_sized,100.0,103.62,0.0362,monthly_rebalance,1.0
1998-06-30,1998-07-31,long,SP500_VIX_sized,100.0,97.98,-0.0202,monthly_rebalance,1.0
1998-07-31,1998-08-31,long,SP500_VIX_sized,100.0,84.38,-0.1562,monthly_rebalance,1.0
1998-08-31,1998-09-30,long,SP500_VIX_sized,100.0,109.745,0.09745,monthly_rebalance,1.5
1998-09-30,1998-10-31,long,SP500_VIX_sized,100.0,110.79,0.1079,monthly_rebalance,1.5
1998-10-31,1998-11-30,long,SP500_VIX_sized,100.0,109.415,0.09415,monthly_rebalance,1.5
1998-11-30,1998-12-31,long,SP500_VIX_sized,100.0,109.605,0.09605,monthly_rebalance,1.5
1998-12-31,1999-01-31,long,SP500_VIX_sized,100.0,103.82,0.0382,monthly_rebalance,1.0
1999-01-31,1999-02-28,long,SP500_VIX_sized,100.0,94.23,-0.0577,monthly_rebalance,1.5
1999-02-28,1999-03-31,long,SP500_VIX_sized,100.0,105.65,0.0565,monthly_rebalance,1.5
1999-03-31,1999-04-30,long,SP500_VIX_sized,100.0,104.71,0.0471,monthly_rebalance,1.0
1999-04-30,1999-05-31,long,SP500_VIX_sized,100.0,96.65,-0.0335,monthly_rebalance,1.5
1999-05-31,1999-06-30,long,SP500_VIX_sized,100.0,107.555,0.07555,monthly_rebalance,1.5
