,0
2010-09-10,72436.31280214527
2010-09-13,73658.11117475611
2010-09-14,73770.55948300581
2010-09-15,73948.61702661555
2010-09-16,74020.0575640062
2010-09-17,73990.01159895309
2010-09-20,75402.40385595213
2010-09-21,74467.20983871777
2010-09-22,73860.55961841594
2010-09-23,73227.0975984879
2010-09-24,75039.5536779696
2010-09-27,74579.42364424662
2010-09-28,74842.0426607693
2010-09-29,74750.34245216945
2010-09-30,74256.10252522591
2010-10-01,74663.05690678782
2010-10-04,74205.8265733637
2010-10-05,76040.81299618649
2010-10-06,74902.84955145356
2010-10-07,74643.25188361626
2010-10-08,75607.02687076255
2010-10-11,75117.26347125697
2010-10-12,75912.48612868287
2010-10-13,76532.88408539639
2010-10-14,76476.74721735413
2010-10-15,76632.88405710645
2010-10-18,76798.62820567464
2010-10-19,75221.04679918951
2010-10-20,76263.50708861389
2010-10-21,76144.70443079957
2010-10-22,76610.04375663555
2010-10-25,77207.07540410396
2010-10-26,77280.66982721705
2010-10-27,77336.86253217906
2010-10-28,77150.00700226233
2010-10-29,77619.12404461007
2010-11-01,77832.5378284836
2010-11-02,78606.16730926583
2010-11-03,79050.29870410697
2010-11-04,81022.89682622309
2010-11-05,81355.8739308139
2010-11-08,81253.41299730845
2010-11-09,79591.22886570058
2010-11-10,80561.41279071149
2010-11-11,80468.7873133919
2010-11-12,79288.14255410105
2010-11-15,78971.3533863433
2010-11-16,77314.07701450189
2010-11-17,77847.92427467844
2010-11-18,79370.64587196843
2010-11-19,80685.25856565942
2010-11-22,81483.50137247969
2010-11-23,80475.62174712204
2010-11-24,82306.48572331328
2010-11-26,82065.51290975341
2010-11-29,81937.15218425787
2010-11-30,81682.8158471671
2010-12-01,83599.87405763984
2010-12-02,84539.81878523994
2010-12-03,84912.35053695306
2010-12-06,84914.6962393456
2010-12-07,85070.27057886342
2010-12-08,85234.84610236861
2010-12-09,85153.53560794481
2010-12-10,85913.80766781072
2010-12-13,85338.48227307193
2010-12-14,84958.61935404573
2010-12-15,84357.79199531832
2010-12-16,85348.98551016464
2010-12-17,85458.06507265278
2010-12-20,85955.44882074212
2010-12-21,86799.68891804427
2010-12-22,86113.41079248016
2010-12-23,85628.29448361398
2010-12-27,85708.0322690781
2010-12-28,85347.8335510558
2010-12-29,85494.98388789623
2010-12-30,85505.69213457282
2010-12-31,84962.06831559508
2011-01-03,86302.31307173344
2011-01-04,85306.75836537252
2011-01-05,86046.72695417282
2011-01-06,85265.79553270426
2011-01-07,84759.62223729378
2011-01-10,85274.04251200771
2011-01-11,84803.21610788557
2011-01-12,85052.02874673084
2011-01-13,85263.4716413808
2011-01-14,86059.98523009477
2011-01-18,86080.74360407166
2011-01-19,85006.36983748148
2011-01-20,83999.79877237766
2011-01-21,83736.22840811295
2011-01-24,83779.04900962934
2011-01-25,83036.97258959214
2011-01-26,83985.03682876505
2011-01-27,84610.52588866554
2011-01-28,82562.38358235083
2011-01-31,82859.73888531394
2011-02-01,84074.31765620719
2011-02-02,84041.92453168351
2011-02-03,84694.69218264607
2011-02-04,85382.75539049544
2011-02-07,85867.5159790455
2011-02-08,86561.13229932587
2011-02-09,86446.78865793302
2011-02-10,86291.65268544608
2011-02-11,87223.78589545832
2011-02-14,87559.06686630708
2011-02-15,87264.82097519876
2011-02-16,88497.34204034561
2011-02-17,88091.87673056636
2011-02-18,88173.78016556804
2011-02-22,85434.88946633435
2011-02-23,83899.43581810896
2011-02-24,84176.30046461869
2011-02-25,85883.13628895287
2011-02-28,85571.62385523335
2011-03-01,83788.32190545066
2011-03-02,84544.82920511844
2011-03-03,86678.17704979281
2011-03-04,85831.55516568542
2011-03-07,84712.90534907332
2011-03-08,85709.96565807833
2011-03-09,85388.86754536844
2011-03-10,83492.14954091657
2011-03-11,84704.98433447609
2011-03-14,84320.02841898585
2011-03-15,83647.94508828735
2011-03-16,82426.65371895481
