basket,bb_period,bb_std,hold_days,n_instruments,median_sharpe,mean_sharpe,std_sharpe,consistency,pass_count,pass_rate,binomial_pvalue,binomial_significant
us_factor,50,1.5,15,6,0.4998,0.4775,0.1548,0.3242,2,0.3333,0.032774,True
us_factor,50,1.5,30,6,0.4599,0.4514,0.1432,0.3173,2,0.3333,0.032774,True
us_factor,50,1.5,45,6,0.4922,0.4953,0.0906,0.1829,3,0.5,0.00223,True
us_factor,50,2.0,0,6,0.8342,0.7817,0.1621,0.2074,5,0.8333,2e-06,True
us_factor,50,2.0,15,6,0.5672,0.5546,0.0724,0.1306,4,0.6667,8.6e-05,True
us_factor,50,2.0,30,6,0.4161,0.3981,0.1352,0.3397,0,0.0,1.0,False
us_factor,50,2.0,45,6,0.5701,0.5555,0.09,0.1621,4,0.6667,8.6e-05,True
us_factor,50,2.5,0,6,0.6204,0.6121,0.2324,0.3796,3,0.5,0.00223,True
us_factor,50,2.5,15,6,0.2124,0.3222,0.1804,0.56,1,0.1667,0.264908,False
us_factor,50,2.5,30,6,0.4777,0.3594,0.243,0.676,2,0.3333,0.032774,True
us_factor,50,2.5,45,6,0.5028,0.5049,0.154,0.3051,3,0.5,0.00223,True
