,equity_curve
2022-09-01,1.6311477385602347
2022-09-02,1.629082864190194
2022-09-06,1.627010137056776
2022-09-07,1.6249362431692163
2022-09-08,1.6228834741542582
2022-09-09,1.6208844371128903
2022-09-12,1.6189739891870811
2022-09-13,1.6168058989188043
2022-09-14,1.61464888679984
2022-09-15,1.6125062428786965
2022-09-16,1.610347367911921
2022-09-19,1.6082430869382671
2022-09-20,1.6061966504673983
2022-09-21,1.6040786711519315
2022-09-22,1.6019628105947714
2022-09-23,1.5997923139358219
2022-09-26,1.5976377648509015
2022-09-27,1.5954811801921958
2022-09-28,1.593253694241216
2022-09-29,1.6133761882959936
2022-09-30,1.6110144472835628
2022-10-03,1.6086128839733762
2022-10-04,1.6062732603805276
2022-10-05,1.6039147875388482
2022-10-06,1.6016441322621477
2022-10-07,1.5992166060592872
2022-10-10,1.6111256149540365
2022-10-11,1.6086481668205468
2022-10-12,1.6062506249946737
2022-10-13,1.6035984119012954
2022-10-14,1.6010076416477168
2022-10-17,1.598370182912565
2022-10-18,1.5958093475062567
2022-10-19,1.5932671421891034
2022-10-20,1.590744176562368
2022-10-21,1.588175335601123
2022-10-24,1.5856891458190767
2022-10-25,1.5832960173528943
2022-10-26,1.5809126714342316
2022-10-27,1.578563387487752
2022-10-28,1.5761466649135725
2022-10-31,1.5761466649135725
2022-11-01,1.5761466649135725
2022-11-02,1.573691829670581
2022-11-03,1.573691829670581
2022-11-04,1.5712059391351618
2022-11-07,1.5688022599899518
2022-11-08,1.5664361307152161
2022-11-09,1.5640824291366642
2022-11-10,1.5615552272028896
2022-11-11,1.559103215812777
2022-11-14,1.5567548816899603
2022-11-15,1.5567548816899603
2022-11-16,1.5544922124445333
2022-11-17,1.5718357562408274
2022-11-18,1.5696217500484002
2022-11-21,1.5674612004579276
2022-11-22,1.5653268233737434
2022-11-23,1.5632945249324144
2022-11-25,1.561351470216555
2022-11-28,1.5594337541404957
2022-11-29,1.557542727934037
2022-11-30,1.5555038389803624
2022-12-01,1.5535890014649594
2022-12-02,1.55167383310716
2022-12-05,1.5497701318216779
2022-12-06,1.547825985453557
2022-12-07,1.545904939562397
2022-12-08,1.5440077134064343
2022-12-09,1.542169277624619
2022-12-12,1.5403639675711043
2022-12-13,1.5385381711329325
2022-12-14,1.5366471100138113
2022-12-15,1.534622416876685
2022-12-16,1.5326001447307271
2022-12-19,1.530580086477934
2022-12-20,1.528579037704291
2022-12-21,1.5266160463742826
2022-12-22,1.5384477412163637
2022-12-23,1.5363872650102066
2022-12-27,1.5501381654457662
2022-12-28,1.5481182059691923
2022-12-29,1.5673395842007711
2022-12-30,1.5653166682402273
2023-01-03,1.5632910797881874
2023-01-04,1.5612754012761918
2023-01-05,1.5592812207405544
2023-01-06,1.5572266400486086
2023-01-09,1.5552251032719326
2023-01-10,1.553280220122418
2023-01-11,1.5513809884231977
2023-01-12,1.5495007000625594
2023-01-13,1.5476464818228064
2023-01-17,1.5458714222865912
2023-01-18,1.5440930114002924
2023-01-19,1.5423152257678778
2023-01-20,1.5404918290038694
2023-01-23,1.538686511839091
2023-01-24,1.536973278417582
2023-01-25,1.5352085227809127
2023-01-26,1.5334982830345725
2023-01-27,1.5507656441116118
2023-01-30,1.5490283844380086
2023-01-31,1.5473133544687847
2023-02-01,1.5455133962704737
2023-02-02,1.5436854349035136
2023-02-03,1.5418268592811657
2023-02-06,1.5400127721354635
2023-02-07,1.5400127721354635
2023-02-08,1.5400127721354635
2023-02-09,1.572353393435861
2023-02-10,1.570453672602333
2023-02-13,1.5685814322128815
2023-02-14,1.5667182152229284
2023-02-15,1.5649066971647672
2023-02-16,1.563098912290276
2023-02-17,1.5612984781392247
2023-02-21,1.5594599429788403
2023-02-22,1.5576568892869809
2023-02-23,1.5558821984628575
2023-02-24,1.554068435692964
2023-02-27,1.5523022263906885
2023-02-28,1.5505837971316412
2023-03-01,1.5489050960138169
2023-03-02,1.5472037319660048
2023-03-03,1.5455292487414574
2023-03-06,1.5439180557521386
2023-03-07,1.5423117464634901
2023-03-08,1.5407262125309127
2023-03-09,1.5390886632151344
2023-03-10,1.5373886706183166
2023-03-13,1.5355991443739996
2023-03-14,1.5338362809254609
2023-03-15,1.5320852167853494
2023-03-16,1.5302778960031
2023-03-17,1.5302778960031
2023-03-20,1.5285569214192647
2023-03-21,1.5268917282645118
2023-03-22,1.5251795207404069
2023-03-23,1.5234392521904028
2023-03-24,1.5217355319664356
2023-03-27,1.5200748336947452
