entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity,regime,entry_vix,exit_vix,days_held,is_pre_2018
2019-08-05,2019-08-08,long,24.98,26.31,signal,1.249,5462,7264.46,114.14,7150.32,143628.84,150779.16,normal,24.59,16.91,3,False
2019-08-16,2019-08-21,long,24.98,26.28,signal,1.249,5734,7454.2,119.82,7334.38,150779.16,158113.54,normal,18.47,15.8,3,False
2019-09-03,2019-09-06,long,24.69,26.38,signal,1.2345,6083,10280.27,127.13,10153.14,158113.54,168266.68,normal,19.66,15.0,3,False
2019-10-02,2019-10-07,long,25.22,26.26,signal,1.261,6338,6591.52,132.44,6459.08,168266.68,174725.76,normal,20.56,17.86,3,False
2020-01-27,2020-02-04,long,31.71,32.44,signal,1.5855,5234,3820.82,110.27,3710.55,174725.76,178436.31,normal,18.23,16.05,6,False
2020-02-24,2020-03-05,long,29.14,23.16,stop_loss,1.457,5817,-34785.66,121.05,-34906.71,178436.31,143529.6,normal,25.03,39.62,8,False
2020-03-17,2020-03-20,long,14.45,14.04,signal,0.7225,9436,-3868.76,193.97,-4062.73,143529.6,139466.87,autobuy,75.91,66.04,3,False
2020-03-25,2020-03-26,long,15.07,15.68,signal,0.7535,8791,5362.51,181.11,5181.4,139466.87,144648.27,autobuy,63.95,61.0,1,False
2020-04-07,2020-04-08,long,15.87,16.03,signal,0.7935,8658,1385.28,178.46,1206.82,144648.27,145855.09,autobuy,46.7,43.35,1,False
2020-04-21,2020-04-23,long,15.07,15.45,signal,0.7535,9194,3493.72,189.36,3304.36,145855.09,149159.46,autobuy,45.41,41.38,2,False
2020-06-19,2020-06-30,long,15.26,15.75,signal,0.763,9285,4549.65,191.31,4358.34,149159.46,153517.8,vix30,35.12,30.43,7,False
2020-09-09,2020-09-14,long,17.15,17.75,signal,0.8575,8503,5101.8,175.67,4926.13,153517.8,158443.93,normal,28.81,25.85,3,False
2020-09-24,2020-09-29,long,17.31,17.75,signal,0.8655,8695,3825.8,179.63,3646.17,158443.93,162090.1,normal,28.51,26.27,3,False
2020-11-03,2020-11-11,long,17.52,19.79,signal,0.876,8789,19951.03,182.07,19768.96,162090.1,181859.05,vix30,35.55,23.45,6,False
