,sp500
1993-07-31,-0.005327059241337917
1993-08-31,0.03443197286501687
1993-09-30,-0.009987919578910986
1993-10-31,0.019392935741834316
1993-11-30,-0.012910672680247037
1993-12-31,0.010091166980662036
1994-01-31,0.03250080394468857
1994-02-28,-0.030045057203961778
1994-03-31,-0.04574645716487569
1994-04-30,0.011530609955807014
1994-05-31,0.012419329799738144
1994-06-30,-0.026812118025892118
1994-07-31,0.03146735093524211
1994-08-31,0.03764320785597386
1994-09-30,-0.02689800210304949
1994-10-31,0.020833783579347953
1994-11-30,-0.039504604636392604
1994-12-31,0.01229914699464385
1995-01-31,0.024277658022514137
1995-02-28,0.03607414650737639
1995-03-31,0.027329243521615032
1995-04-30,0.027960296379141658
1995-05-31,0.0363117095063239
1995-06-30,0.02127859017622802
1995-07-31,0.031776044056906816
1995-08-31,-0.00032025050706319114
1995-09-30,0.040097529721648595
1995-10-31,-0.0049793809140842304
1995-11-30,0.04104901117798798
1995-12-31,0.017443877298181087
1996-01-31,0.032617342879872835
1996-02-29,0.006933744221879756
1996-03-31,0.007916556063894742
1996-04-30,0.01343144848954303
1996-05-31,0.022853386734335235
1996-06-30,0.0022566953610712037
1996-07-31,-0.04574802797369626
1996-08-31,0.01881396984139383
1996-09-30,0.054172610009355804
1996-10-31,0.026130857982569866
1996-11-30,0.07337615381343321
1996-12-31,-0.021505376344086002
1997-01-31,0.06131706131706127
1997-02-28,0.005927546555408725
1997-03-31,-0.042613995599504406
1997-04-30,0.05840553677092153
1997-05-31,0.058576883719769324
1997-06-30,0.04345263356438922
1997-07-31,0.07812323474252647
1997-08-31,-0.05744584979408773
1997-09-30,0.05315352374175908
1997-10-31,-0.03447766235959793
1997-11-30,0.044586822942861426
1997-12-31,0.015731630730583923
1998-01-31,0.010150139628824384
1998-02-28,0.0704492593952748
1998-03-31,0.04994568014180345
1998-04-30,0.009076469253460395
1998-05-31,-0.018826174949404195
1998-06-30,0.03943822078803105
1998-07-31,-0.011615395470260248
1998-08-31,-0.14579671089616042
1998-09-30,0.06239553735584158
1998-10-31,0.08029419573062224
1998-11-30,0.059126034204993294
1998-12-31,0.056375308302467175
1999-01-31,0.04100941239637823
1999-02-28,-0.032282516957894525
1999-03-31,0.038794182487705164
1999-04-30,0.037943981902563095
1999-05-31,-0.02497041597387628
1999-06-30,0.05443833343575255
1999-07-31,-0.03204609859329355
1999-08-31,-0.0062541393220543195
1999-09-30,-0.02855173771783015
1999-10-31,0.06253946722174142
1999-11-30,0.01906187405075821
1999-12-31,0.05784392077240419
2000-01-31,-0.050903522205206664
2000-02-29,-0.020108142219927405
2000-03-31,0.09671989578606865
2000-04-30,-0.030795820042973876
2000-05-31,-0.02191499762467053
2000-06-30,0.023933549204561366
2000-07-31,-0.016341262202667406
2000-08-31,0.06069903482594019
2000-09-30,-0.053482947656950164
2000-10-31,-0.00494949565265812
2000-11-30,-0.0800685602350637
2000-12-31,0.004053386060306474
2001-01-31,0.03463659223801008
2001-02-28,-0.09229068601254742
2001-03-31,-0.06420471958320573
2001-04-30,0.07681435453707142
2001-05-31,0.0050901989659533076
2001-06-30,-0.025003583316080213
2001-07-31,-0.010772447362833004
2001-08-31,-0.06410838569057908
2001-09-30,-0.08172338961520131
2001-10-31,0.01809902588045409
2001-11-30,0.07517597992036085
2001-12-31,0.007573829479134542
2002-01-31,-0.015573827607832103
2002-02-28,-0.020766236064413413
2002-03-31,0.03673886133022508
