,predicted_vol,exposure_symmetric,exposure_asymmetric_cap,exposure_binary_defensive,exposure_three_state,exposure
2018-11-01,0.1449644746275376,1.0347362716651811,1.0,0.4,0.4,0.4
2018-11-02,0.14425948692953597,1.0397929674688777,1.0,0.4,0.4,0.4
2018-11-05,0.13752209217839145,1.0907338422791184,1.0,0.4,0.4,0.4
2018-11-06,0.13688834622221535,1.0957835647784075,1.0,0.4,0.4,0.4
2018-11-07,0.1360309058967882,1.1026905908706561,1.0,0.4,0.4,0.4
2018-11-08,0.15587725196221847,0.962295640395027,0.962295640395027,0.4,0.4,0.4
2018-11-09,0.13160795067073316,1.1397487707659963,1.0,0.4,0.4,0.4
2018-11-12,0.13632290200958286,1.1003286886414412,1.0,0.4,0.4,0.4
2018-11-13,0.14977380017266634,1.001510276343879,1.0,0.4,0.4,0.4
2018-11-14,0.13369279922695726,1.1219751614696882,1.0,0.4,0.4,0.4
2018-11-15,0.1287798075637439,1.1647788798391583,1.0,0.4,0.4,0.4
2018-11-16,0.13602312784786766,1.1027536447166875,1.0,0.4,0.4,0.4
2018-11-19,0.12767466456541543,1.1748611246450227,1.0,0.4,0.4,0.4
2018-11-20,0.14170129448166074,1.058564782690911,1.0,0.4,0.4,0.4
2018-11-21,0.1471314729925104,1.0194963521342277,1.0,0.4,0.4,0.4
2018-11-23,0.1342862097325423,1.1170171553635688,1.0,0.4,0.4,0.4
2018-11-26,0.12781017539440254,1.173615477305489,1.0,0.4,0.4,0.4
2018-11-27,0.13811437980747387,1.0860563556748706,1.0,0.4,0.4,0.4
2018-11-28,0.12309276805280853,1.2185931177991536,1.0,0.4,0.4,0.4
2018-11-29,0.14297609622039656,1.049126420186883,1.0,0.4,0.4,0.4
2018-11-30,0.12303534997184534,1.2191618102791195,1.0,0.4,0.4,0.4
2018-12-03,0.12497293867253068,1.20025984499771,1.0,0.4,0.4,0.4
2018-12-04,0.13090601577993116,1.1458602502437178,1.0,0.4,0.4,0.4
2018-12-06,0.16468921513890483,0.9108064536799485,0.9108064536799485,0.4,0.4,0.4
2018-12-07,0.13611492222867672,1.1020099599953925,1.0,0.4,0.4,0.4
2018-12-10,0.15850401828920233,0.9463482479435561,0.9463482479435561,0.4,0.4,0.4
2018-12-11,0.13514244935900177,1.1099399242167767,1.0,0.4,0.4,0.4
2018-12-12,0.13159984172328792,1.1398190000516997,1.0,0.4,0.4,0.4
2018-12-13,0.13311270199661587,1.1268646624257799,1.0,0.4,0.4,0.4
2018-12-14,0.12632977737214843,1.1873685137441718,1.0,0.4,0.4,0.4
2018-12-17,0.14240414176844507,1.0533401496418981,1.0,0.4,0.4,0.4
2018-12-18,0.14934029844351454,1.004417438316122,1.0,0.4,0.4,0.4
2018-12-19,0.13010531671553782,1.1529121467646084,1.0,0.4,0.4,0.4
2018-12-20,0.1432570714966977,1.0470687305893849,1.0,0.4,0.4,0.4
2018-12-21,0.14139919973190818,1.0608263716088837,1.0,0.4,0.4,0.4
2018-12-24,0.14633890393315196,1.025017927348427,1.0,0.4,0.4,0.4
2018-12-26,0.15500972569272953,0.9676812169666041,0.9676812169666041,0.4,0.4,0.4
2018-12-27,0.21081415339362536,0.7115271796762377,0.7115271796762377,0.4,0.4,0.4
2018-12-28,0.1750172455950217,0.8570583972455494,0.8570583972455494,0.4,0.4,0.4
2018-12-31,0.16752729792014937,0.8953764661774487,0.8953764661774487,0.4,0.4,0.4
2019-01-02,0.1687727297687669,0.8887691761904477,0.8887691761904477,0.4,0.4,0.4
2019-01-03,0.1562298915447149,0.960123562251006,0.960123562251006,0.4,0.4,0.4
2019-01-04,0.17330574967352425,0.8655223515813645,0.8655223515813645,0.4,0.4,0.4
