,equity
2012-08-22,89326.85908846265
2012-08-23,88324.84493285282
2012-08-24,89665.14085890035
2012-08-27,89927.39533084696
2012-08-28,90057.02294089613
2012-08-29,90468.25984472134
2012-08-30,89506.40810753239
2012-08-31,90063.4105550796
2012-09-04,90956.77928214533
2012-09-05,91063.9969515267
2012-09-06,94120.10827707534
2012-09-07,93253.93701809474
2012-09-10,92906.02155096264
2012-09-11,93237.89724626475
2012-09-12,93376.66653563062
2012-09-13,96147.76456531203
2012-09-14,95103.16653242477
2012-09-17,95189.80610150601
2012-09-18,95022.74642508614
2012-09-19,95691.59632622446
2012-09-20,95957.44274128905
2012-09-21,96008.63670134696
2012-09-24,96390.44986039719
2012-09-25,95504.26294172407
2012-09-26,94764.93079804601
2012-09-27,95614.65750899306
2012-09-28,95062.37374415025
2012-10-01,95714.50095608442
2012-10-02,95780.4022059496
2012-10-03,97863.4215522147
2012-10-04,98739.16532423123
2012-10-05,99368.78027908763
2012-10-08,98482.64046450009
2012-10-09,96094.99491550968
2012-10-10,95747.29293509356
2012-10-11,94155.51778732213
2012-10-12,93557.84370641827
2012-10-15,94861.48810088525
2012-10-16,95842.32851070532
2012-10-17,97372.65168969899
2012-10-18,97099.27128795364
2012-10-19,94370.28422435184
2012-10-22,94327.55051836201
2012-10-23,92052.02933922129
2012-10-24,91893.60556360736
2012-10-25,91496.6838340134
2012-10-26,90673.07900659842
2012-10-31,90609.10160923487
2012-11-01,91399.1613792825
2012-11-02,90298.40349524468
2012-11-05,90667.10829037655
2012-11-06,91721.78438882665
2012-11-07,88336.44872792096
2012-11-08,86561.2413448661
2012-11-09,86153.47574789071
2012-11-12,87692.12106515598
2012-11-13,87966.88246099255
2012-11-14,85964.33302302648
2012-11-15,84187.20422769655
2012-11-16,84830.57169904225
2012-11-19,88055.51579617683
2012-11-20,88875.33774475414
2012-11-21,89018.58037082973
2012-11-23,91607.03185524161
2012-11-26,90388.96012880055
2012-11-27,89062.78206391589
2012-11-28,90505.38348591683
2012-11-29,91057.12954183834
2012-11-30,91997.17883145453
2012-12-03,91272.20130074788
2012-12-04,90777.6692516655
2012-12-05,92512.38609296813
2012-12-06,92672.92795524908
2012-12-07,93652.96191876486
2012-12-10,93083.54447368109
2012-12-11,94282.21566121705
2012-12-12,94502.80664587022
2012-12-13,92531.41073801684
2012-12-14,91864.88741892013
2012-12-17,95621.25543605107
2012-12-18,97776.50040455973
2012-12-19,95750.12915736614
2012-12-20,97358.90602631937
2012-12-21,94321.32821518315
2012-12-24,94674.90092459154
2012-12-26,94629.61244684772
2012-12-27,93827.66620327927
2012-12-28,92283.32427911967
2012-12-31,95624.50897092484
2013-01-02,101031.59607057895
2013-01-03,100096.5853795914
2013-01-04,101648.47793947818
2013-01-07,100168.1427245243
2013-01-08,100478.81866303914
2013-01-09,99861.39005038203
2013-01-10,100986.33106387433
2013-01-11,100238.79086404464
2013-01-14,99765.99542354463
2013-01-15,100357.7323029193
2013-01-16,101321.06235460522
2013-01-17,101704.90208717364
2013-01-18,101402.98876367442
2013-01-22,102995.51513634919
2013-01-23,104022.01037256994
2013-01-24,104973.66378135682
2013-01-25,106192.6700942051
2013-01-28,105735.08058425864
2013-01-29,106219.99197470919
2013-01-30,105394.1898990704
2013-01-31,103470.99356804343
2013-02-01,107051.32637108439
2013-02-04,103915.17493099371
2013-02-05,106477.26543876668
2013-02-06,106609.79332913307
2013-02-07,105775.21161652908
2013-02-08,107051.39345317808
2013-02-11,106876.12653677748
2013-02-12,108156.77947903967
2013-02-13,109122.31193047857
2013-02-14,109700.04347091039
2013-02-15,109946.03925776003
2013-02-19,111302.88077582636
2013-02-20,107537.1703127216
2013-02-21,104399.95900670085
2013-02-22,106780.82121013627
2013-02-25,103199.31467960143
2013-02-26,106177.997298628
2013-02-27,109095.50181840728
2013-02-28,108974.23645243418
2013-03-01,111115.67992078442
2013-03-04,114115.45848101037
2013-03-05,116050.41110214547
2013-03-06,116065.45447192312
2013-03-07,115844.02139738288
2013-03-08,117749.97197458375
2013-03-11,117770.32238600585
2013-03-12,118272.08702362372
2013-03-13,117620.32142158321
2013-03-14,117974.5538693721
2013-03-15,116282.51424018407
2013-03-18,116301.37515365615
2013-03-19,115769.32627924593
2013-03-20,118218.93006142256
2013-03-21,116280.31635742685
2013-03-22,118235.8836129624
2013-03-25,117489.91405401037
2013-03-26,119096.73956099045
2013-03-27,120087.6501430565
2013-03-28,122055.50931799396
2013-04-01,120448.01394618489
2013-04-02,120231.3831469662
2013-04-03,116052.30654482273
2013-04-04,117667.32458800395
2013-04-05,116854.77051064212
2013-04-08,119077.20339478986
2013-04-09,120249.03941941635
2013-04-10,122482.36093364898
2013-04-11,123381.74947282326
2013-04-12,123419.44507764495
2013-04-15,117539.8743142358
2013-04-16,121334.85652630731
2013-04-17,118805.41429280723
2013-04-18,117342.9473232073
2013-04-19,121742.051155164
2013-04-22,123249.78875251276
2013-04-23,125301.63552693558
2013-04-24,123538.28430081597
2013-04-25,124556.61787030428
2013-04-26,123678.68332863206
2013-04-29,124474.84061079807
2013-04-30,122950.74317203954
2013-05-01,119134.17183686099
2013-05-02,122880.65682116036
2013-05-03,128057.37127086286
2013-05-06,130117.47649125804
2013-05-07,130028.02940713667
2013-05-08,130554.61942626395
2013-05-09,130268.9692151326
2013-05-10,131020.84712943716
2013-05-13,132566.73334946187
2013-05-14,137621.07561735925
2013-05-15,139734.63726918361
2013-05-16,136410.76865963504
2013-05-17,139910.8498019252
2013-05-20,139333.99903195348
2013-05-21,140258.68404229655
2013-05-22,139406.7861490337
2013-05-23,138057.51063417434
2013-05-24,137842.75954550088
2013-05-28,140454.9213749743
2013-05-29,138708.63625260518
2013-05-30,139137.62145186836
2013-05-31,135967.5776460783
2013-06-03,134684.51988868494
2013-06-04,131782.39985039027
2013-06-05,126395.98727589616
2013-06-06,130408.57009754627
2013-06-07,137700.31204184817
2013-06-10,136108.78159280933
2013-06-11,132277.85109452566
2013-06-12,129109.91364895512
2013-06-13,135272.12149933068
2013-06-14,132565.39221123658
2013-06-17,134109.9154011229
2013-06-18,136357.9913128934
2013-06-19,131726.88082692315
2013-06-20,121767.28666579224
2013-06-21,120948.6595126637
2013-06-24,116915.73070512853
2013-06-25,120270.33849969557
2013-06-26,122685.14211757091
2013-06-27,124033.57042989499
2013-06-28,121521.35049942095
2013-07-01,122470.23167860784
2013-07-02,122161.49542464166
2013-07-03,121893.74651973539
2013-07-05,124090.2269682451
2013-07-08,125818.56739022938
2013-07-09,129256.13692232658
2013-07-10,128109.24243634989
2013-07-11,134669.74909060026
2013-07-12,136983.34627197613
2013-07-15,137547.39895749887
2013-07-16,135163.79893804505
2013-07-17,136790.04133510758
2013-07-18,138020.33484012476
2013-07-19,139237.46568322412
2013-07-22,141564.42260985592
2013-07-23,142111.6112977583
2013-07-24,140782.1374865713
2013-07-25,143188.57885217367
2013-07-26,143879.71323782433
2013-07-29,142305.65054855865
2013-07-30,142310.03181014888
2013-07-31,144876.09085375816
2013-08-01,148763.71119301693
2013-08-02,147152.93922876928
2013-08-05,146453.25755865066
2013-08-06,143911.99795242338
2013-08-07,142181.15726633716
2013-08-08,143021.8496567803
2013-08-09,142432.42944197007
2013-08-12,141353.28139192637
2013-08-13,142156.06345877008
2013-08-14,140234.20880324885
2013-08-15,134386.54082268578
2013-08-16,133634.39826761076
2013-08-19,130567.3775223395
2013-08-20,134439.24614930127
2013-08-21,133855.11821064484
2013-08-22,137185.8889989977
2013-08-23,137722.469382206
2013-08-26,137598.9315904674
2013-08-27,130651.72701383727
2013-08-28,131861.3985896923
2013-08-29,133903.14541385454
2013-08-30,132033.88284433947
2013-09-03,135265.8541618934
2013-09-04,139716.2848290259
2013-09-05,140699.05701881245
2013-09-06,139809.35761541725
2013-09-09,143629.77498572698
2013-09-10,146693.02481889146
2013-09-11,146619.97060586177
2013-09-12,146017.466804948
2013-09-13,147316.71041558427
2013-09-16,148856.28128046406
2013-09-17,150355.40424064195
2013-09-18,152237.34778662995
2013-09-19,151369.23052830336
2013-09-20,149406.57338098463
2013-09-23,145411.83792991147
2013-09-24,145947.44497880051
2013-09-25,144586.0620993335
