basket,ch,mh,sl,n_instruments,median_sharpe,mean_sharpe,pass_count,binomial_pvalue,binomial_significant
us_factor,20,15,-0.12,7,0.7502,0.666,5,6e-06,True
us_factor,20,30,-0.05,7,0.6005,0.6159,5,6e-06,True
us_factor,20,30,-0.08,7,0.5866,0.6737,4,0.000194,True
us_factor,20,30,-0.12,7,0.6164,0.6276,4,0.000194,True
us_factor,20,45,-0.05,7,0.6766,0.7237,5,6e-06,True
us_factor,20,45,-0.08,7,0.8344,0.7927,6,0.0,True
us_factor,20,45,-0.12,7,0.7432,0.7516,5,6e-06,True
us_factor,20,60,-0.05,7,0.6173,0.7023,5,6e-06,True
us_factor,20,60,-0.08,7,0.7285,0.7304,6,0.0,True
us_factor,20,60,-0.12,7,0.7774,0.7391,6,0.0,True
us_factor,30,15,-0.05,7,0.4357,0.5733,2,0.044381,True
us_factor,30,15,-0.08,7,0.4707,0.5526,2,0.044381,True
us_factor,30,15,-0.12,7,0.4766,0.5505,3,0.003757,True
us_factor,30,30,-0.05,7,0.4898,0.5825,3,0.003757,True
us_factor,30,30,-0.08,7,0.5332,0.6319,3,0.003757,True
us_factor,30,30,-0.12,7,0.5322,0.6179,3,0.003757,True
us_factor,30,45,-0.05,7,0.5179,0.6086,3,0.003757,True
us_factor,30,45,-0.08,7,0.6055,0.6658,6,0.0,True
us_factor,30,45,-0.12,7,0.5811,0.6259,4,0.000194,True
us_factor,30,60,-0.05,7,0.5003,0.5946,2,0.044381,True
us_factor,30,60,-0.08,7,0.5841,0.6708,4,0.000194,True
us_factor,30,60,-0.12,7,0.5842,0.6718,4,0.000194,True
us_factor,50,15,-0.05,7,0.3772,0.441,2,0.044381,True
us_factor,50,15,-0.08,7,0.4668,0.4881,3,0.003757,True
us_factor,50,15,-0.12,7,0.4081,0.4819,3,0.003757,True
us_factor,50,30,-0.05,7,0.397,0.5148,3,0.003757,True
us_factor,50,30,-0.08,7,0.504,0.5488,3,0.003757,True
us_factor,50,30,-0.12,7,0.4947,0.5469,3,0.003757,True
us_factor,50,45,-0.05,7,0.4589,0.5178,3,0.003757,True
us_factor,50,45,-0.08,7,0.3607,0.4872,3,0.003757,True
us_factor,50,45,-0.12,7,0.3824,0.4648,2,0.044381,True
us_factor,50,60,-0.05,7,0.4432,0.5349,3,0.003757,True
us_factor,50,60,-0.08,7,0.4601,0.5409,3,0.003757,True
us_factor,50,60,-0.12,7,0.4357,0.5458,3,0.003757,True
