entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
2020-06-25,2020-06-26,vixshort,100,98.08221316581516,rebalance,1.9178,1,-2487.2,10.74,-2487.2,129691.35,127204.15
2020-06-26,2020-06-29,vixshort,100,101.56921674091836,rebalance,1.5692,1,1996.11,2.44,1996.11,127204.15,129200.26
2020-06-29,2020-06-30,vixshort,100,101.61158321693986,rebalance,1.6116,1,2082.17,2.56,2082.17,129200.26,131282.43
2020-06-30,2020-07-01,vixshort,100,100.88656132478818,rebalance,0.8866,1,1163.9,1.6,1163.9,131282.43,132446.33
2020-07-01,2020-07-13,vixshort,100,97.65849906238341,rebalance,2.3415,1,-3101.23,1.6,-3101.23,132446.33,129345.09
2020-07-13,2020-07-14,vixshort,100,101.88556983212396,rebalance,1.8856,1,2438.89,3.41,2438.89,129345.09,131783.99
2020-07-14,2020-07-15,vixshort,100,100.82048265386814,rebalance,0.8205,1,1081.26,2.59,1081.26,131783.99,132865.25
2020-07-15,2020-07-17,vixshort,100,101.46151480218492,rebalance,1.4615,1,1941.85,1.55,1941.85,132865.25,134807.1
2020-07-17,2020-07-20,vixshort,100,101.21725032958405,rebalance,1.2173,1,1640.94,2.1,1640.94,134807.1,136448.04
2020-07-20,2020-07-23,vixshort,100,99.15111906593744,rebalance,0.8489,1,-1158.28,1.44,-1158.28,136448.04,135289.75
2020-07-23,2020-07-29,vixshort,100,101.26431495874361,rebalance,1.2643,1,1710.49,1.53,1710.49,135289.75,137000.24
2020-07-29,2020-08-05,vixshort,100,101.33463765501105,rebalance,1.3346,1,1828.46,1.99,1828.46,137000.24,138828.7
2020-08-05,2020-08-17,vixshort,100,102.05635590073156,rebalance,2.0564,1,2854.81,1.46,2854.81,138828.7,141683.51
2020-08-17,2020-08-26,vixshort,100,99.61315537498739,rebalance,0.3868,1,-548.1,2.26,-548.1,141683.51,141135.42
2020-08-26,2020-08-31,vixshort,100,98.27827209475097,rebalance,1.7217,1,-2429.97,1.57,-2429.97,141135.42,138705.45
2020-08-31,2020-09-03,vixshort,100,95.532526136247,rebalance,4.4675,1,-6196.63,3.11,-6196.63,138705.45,132508.82
2020-09-03,2020-09-04,vixshort,100,102.79300952990502,rebalance,2.793,1,3700.98,7.04,3700.98,132508.82,136209.8
2020-09-04,2020-09-09,vixshort,100,102.3611279804181,rebalance,2.3611,1,3216.09,3.17,3216.09,136209.8,139425.89
2020-09-09,2020-09-11,vixshort,100,101.42280551159911,rebalance,1.4228,1,1983.76,2.47,1983.76,139425.89,141409.65
2020-09-11,2020-09-18,vixshort,100,100.59144903892008,rebalance,0.5914,1,836.37,11.58,836.37,141409.65,142246.02
2020-09-18,2020-09-21,vixshort,100,99.135455882095,rebalance,0.8645,1,-1229.78,8.45,-1229.78,142246.02,141016.24
2020-09-21,2020-10-08,vixshort,100,101.67859082528128,rebalance,1.6786,1,2367.09,1.83,2367.09,141016.24,143383.32
2020-10-08,2020-10-09,vixshort,100,101.35792959708448,rebalance,1.3579,1,1947.04,1.87,1947.04,143383.32,145330.37
2020-10-09,2020-10-16,vixshort,100,99.99122289023717,rebalance,0.0088,1,-12.76,1.71,-12.76,145330.37,145317.61
2020-10-16,2020-10-19,vixshort,100,98.76589820141629,rebalance,1.2341,1,-1793.37,1.76,-1793.37,145317.61,143524.24
2020-10-19,2020-10-22,vixshort,100,101.40992471256587,rebalance,1.4099,1,2023.58,1.92,2023.58,143524.24,145547.83
2020-10-22,2020-10-26,vixshort,100,97.07258687459579,rebalance,2.9274,1,-4260.79,1.5,-4260.79,145547.83,141287.04
2020-10-26,2020-11-04,cash,100,99.98521500000001,rebalance,0.0148,1,-20.89,18.34,-20.89,141287.04,141266.15
2020-11-04,2020-11-05,vixshort,100,100.50886851260243,rebalance,0.5089,1,718.86,20.89,718.86,141266.15,141985.01
2020-11-05,2020-11-06,vixshort,100,100.95620587684841,rebalance,0.9562,1,1357.67,11.46,1357.67,141985.01,143342.68
2020-11-06,2020-11-11,vixshort,100,100.94361865309503,rebalance,0.9436,1,1352.61,1.56,1352.61,143342.68,144695.29
2020-11-11,2020-11-12,vixshort,100,98.31505975713836,rebalance,1.6849,1,-2438.03,7.38,-2438.03,144695.29,142257.26
2020-11-12,2020-11-13,vixshort,100,101.64492136655134,rebalance,1.6449,1,2340.02,2.28,2340.02,142257.26,144597.28
2020-11-13,2020-11-24,vixshort,100,101.16531354571859,rebalance,1.1653,1,1685.01,2.5,1685.01,144597.28,146282.29
2020-11-24,2020-12-08,vixshort,100,101.78717663335462,rebalance,1.7872,1,2614.32,1.72,2614.32,146282.29,148896.61
2020-12-08,2020-12-09,vixshort,100,99.19188201859309,rebalance,0.8081,1,-1203.26,1.74,-1203.26,148896.61,147693.35
2020-12-09,2020-12-14,vixshort,100,98.47815631611012,rebalance,1.5218,1,-2247.66,1.65,-2247.66,147693.35,145445.69
2020-12-14,2020-12-15,vixshort,100,101.11529814405549,rebalance,1.1153,1,1622.15,2.65,1622.15,145445.69,147067.85
2020-12-15,2020-12-21,vixshort,100,98.70697213918096,rebalance,1.293,1,-1901.63,1.96,-1901.63,147067.85,145166.22
2020-12-21,2020-12-23,vixshort,100,101.60882857679023,rebalance,1.6088,1,2335.48,2.38,2335.48,145166.22,147501.69
2020-12-23,2020-12-24,vixshort,100,100.7283040527355,rebalance,0.7283,1,1074.26,2.24,1074.26,147501.69,148575.95
2020-12-24,2020-12-29,vixshort,100,99.14282629829,rebalance,0.8572,1,-1273.55,1.73,-1273.55,148575.95,147302.4
2020-12-29,2021-01-04,vixshort,100,98.80104703694086,rebalance,1.199,1,-1766.09,1.64,-1766.09,147302.4,145536.31
2021-01-04,2021-01-05,vixshort,100,100.84125186748463,rebalance,0.8413,1,1224.33,3.51,1224.33,145536.31,146760.64
2021-01-05,2021-01-07,vixshort,100,101.63627875621937,rebalance,1.6363,1,2401.41,1.64,2401.41,146760.64,149162.05
2021-01-07,2021-01-11,vixshort,100,99.21680560923956,rebalance,0.7832,1,-1168.23,3.11,-1168.23,149162.05,147993.82
2021-01-11,2021-01-13,vixshort,100,100.84950536309319,rebalance,0.8495,1,1257.22,1.72,1257.22,147993.82,149251.04
2021-01-13,2021-01-15,vixshort,100,99.08281569337827,rebalance,0.9172,1,-1368.91,1.87,-1368.91,149251.04,147882.13
2021-01-15,2021-01-20,vixshort,100,101.15091906001427,rebalance,1.1509,1,1702.0,2.11,1702.0,147882.13,149584.14
2021-01-20,2021-01-25,vixshort,100,99.0038873163244,rebalance,0.9961,1,-1490.03,2.71,-1490.03,149584.14,148094.11
2021-01-25,2021-01-27,vixshort,100,95.17331864867651,rebalance,4.8267,1,-7148.03,1.78,-7148.03,148094.11,140946.08
2021-01-27,2021-01-28,cash,100,99.98489500000001,rebalance,0.0151,1,-21.29,13.6,-21.29,140946.08,140924.79
2021-01-28,2021-01-29,vixshort,100,98.62023277072744,rebalance,1.3798,1,-1944.43,21.29,-1944.43,140924.79,138980.35
2021-01-29,2021-02-01,vixshort,100,101.79746320469869,rebalance,1.7975,1,2498.12,2.68,2498.12,138980.35,141478.48
2021-02-01,2021-02-02,vixshort,100,102.57839855092064,rebalance,2.5784,1,3647.88,2.85,3647.88,141478.48,145126.35
2021-02-02,2021-02-03,vixshort,100,101.32239202820617,rebalance,1.3224,1,1919.14,4.67,1919.14,145126.35,147045.49
