date,ret
2021-10-11,201736.1296344021
2021-10-12,202534.51029973425
2021-10-13,202534.51029973425
2021-10-14,204018.45670100563
2021-10-15,204018.45670100563
2021-10-18,204018.45670100563
2021-10-19,204018.45670100563
2021-10-20,204018.45670100563
2021-10-21,202185.7171217603
2021-10-22,202185.7171217603
2021-10-25,202497.21334147215
2021-10-26,204969.19564901365
2021-10-27,204442.38815934752
2021-10-28,201879.7043722409
2021-10-29,201879.7043722409
2021-11-01,201879.7043722409
2021-11-02,201879.7043722409
2021-11-03,202234.05303257218
2021-11-04,202234.05303257218
2021-11-05,203682.55334260393
2021-11-08,206006.65404554555
2021-11-09,206006.65404554555
2021-11-10,206141.7150925294
2021-11-11,206676.54915196207
2021-11-12,206676.54915196207
2021-11-15,206676.54915196207
2021-11-16,205143.59790683837
2021-11-17,205014.82598883664
2021-11-18,203347.41895811853
2021-11-19,203347.41895811853
2021-11-22,200396.11628169287
2021-11-23,202349.3671275515
2021-11-24,202349.3671275515
2021-11-26,197925.55552589873
2021-11-29,200411.33635451796
2021-11-30,201916.72594845222
2021-12-01,204707.3776572662
2021-12-02,208087.47185170712
2021-12-03,208087.47185170712
2021-12-06,204859.64672709221
2021-12-07,204859.64672709221
2021-12-08,204859.64672709221
2021-12-09,204859.64672709221
2021-12-10,204859.64672709221
2021-12-13,204859.64672709221
2021-12-14,204680.25611752577
2021-12-15,203208.31241189467
2021-12-16,203208.31241189467
2021-12-17,201142.95024530828
2021-12-20,198470.08143390846
2021-12-21,198470.08143390846
2021-12-22,198470.08143390846
2021-12-23,198470.08143390846
2021-12-27,198470.08143390846
2021-12-28,198470.08143390846
2021-12-29,199532.0197524014
2021-12-30,199532.0197524014
2021-12-31,199532.0197524014
2022-01-03,202435.45225717194
2022-01-04,202435.45225717194
2022-01-05,204098.67311623055
2022-01-06,204278.45289859414
2022-01-07,204278.45289859414
2022-01-10,204278.45289859414
2022-01-11,204278.45289859414
2022-01-12,204278.45289859414
2022-01-13,204278.45289859414
2022-01-14,202957.1221585038
2022-01-18,202957.1221585038
2022-01-19,202571.1452890034
2022-01-20,202400.38814612932
2022-01-21,201572.01728419424
2022-01-24,195465.05824806282
2022-01-25,195465.05824806282
2022-01-26,194856.86204330577
2022-01-27,194685.3650335972
2022-01-28,196377.55637744188
2022-01-31,196377.55637744188
2022-02-01,196377.55637744188
2022-02-02,197461.17870338072
2022-02-03,197461.17870338072
2022-02-04,197461.17870338072
2022-02-07,197461.17870338072
2022-02-08,197332.97973866278
2022-02-09,197332.97973866278
2022-02-10,197332.97973866278
2022-02-11,197332.97973866278
2022-02-14,195129.47772405937
2022-02-15,201261.9887983918
2022-02-16,201261.9887983918
2022-02-17,201261.9887983918
2022-02-18,201995.99614482143
2022-02-22,201178.51345736848
2022-02-23,202237.11351320607
2022-02-24,191077.5793341988
2022-02-25,191077.5793341988
2022-02-28,191077.5793341988
2022-03-01,191077.5793341988
2022-03-02,192985.44053822075
2022-03-03,192985.44053822075
2022-03-04,189371.3412263646
2022-03-07,187629.49331381597
2022-03-08,191079.67967469158
2022-03-09,191079.67967469158
2022-03-10,191079.67967469158
2022-03-11,191079.67967469158
2022-03-14,194614.7591150755
2022-03-15,194529.9256279576
2022-03-16,194529.9256279576
2022-03-17,194529.9256279576
2022-03-18,194529.9256279576
2022-03-21,194529.9256279576
2022-03-22,194529.9256279576
2022-03-23,194529.9256279576
2022-03-24,196653.9653065202
2022-03-25,196653.9653065202
2022-03-28,196653.9653065202
2022-03-29,196653.9653065202
