date,ret
2020-07-23,195274.41405261075
2020-07-24,193678.29301647263
2020-07-27,193678.29301647263
2020-07-28,193678.29301647263
2020-07-29,193678.29301647263
2020-07-30,193027.48148829132
2020-07-31,193027.48148829132
2020-08-03,189493.94944694103
2020-08-04,185773.94073888834
2020-08-05,185773.94073888834
2020-08-06,184593.2910503591
2020-08-07,184593.2910503591
2020-08-10,186340.74446610126
2020-08-11,188018.8223176227
2020-08-12,188714.23540430004
2020-08-13,191914.23679209693
2020-08-14,191781.59351409407
2020-08-17,191177.50978089543
2020-08-18,196363.76088226333
2020-08-19,196363.76088226333
2020-08-20,190362.02575511934
2020-08-21,190362.02575511934
2020-08-24,190362.02575511934
2020-08-25,190362.02575511934
2020-08-26,190362.02575511934
2020-08-27,193560.40201041082
2020-08-28,197384.973286409
2020-08-31,197384.973286409
2020-09-01,202545.10045127213
2020-09-02,202545.10045127213
2020-09-03,202545.10045127213
2020-09-04,203586.6682184398
2020-09-08,197433.42137896403
2020-09-09,197433.42137896403
2020-09-10,197433.42137896403
2020-09-11,199663.2843657108
2020-09-14,202830.7940279655
2020-09-15,202830.7940279655
2020-09-16,203483.83586046216
2020-09-17,199970.71868611497
2020-09-18,199970.71868611497
2020-09-21,194863.04287268402
2020-09-22,194863.04287268402
2020-09-23,193104.0953270193
2020-09-24,194104.786108207
2020-09-25,194104.786108207
2020-09-28,194104.786108207
2020-09-29,193105.05036827145
2020-09-30,194461.85217909142
2020-10-01,194461.85217909142
2020-10-02,194461.85217909142
2020-10-05,196694.20502320564
2020-10-06,196694.20502320564
2020-10-07,198247.96179523994
2020-10-08,198422.86627408786
2020-10-09,198422.86627408786
2020-10-12,198422.86627408786
2020-10-13,198422.86627408786
2020-10-14,198422.86627408786
2020-10-15,194988.70031822813
2020-10-16,194988.70031822813
2020-10-19,196594.3094337742
2020-10-20,199126.86798467886
2020-10-21,199126.86798467886
2020-10-22,199126.86798467886
2020-10-23,199126.86798467886
2020-10-26,199699.11290201842
2020-10-27,198944.8686388074
2020-10-28,193050.6852122298
2020-10-29,190329.3251417211
2020-10-30,190329.3251417211
2020-11-02,192644.9665016045
2020-11-03,197211.06983713634
2020-11-04,199877.59729711426
2020-11-05,199877.59729711426
2020-11-06,199877.59729711426
2020-11-09,199877.59729711426
2020-11-10,201661.67285769578
2020-11-11,201661.67285769578
2020-11-12,200373.5529233384
2020-11-13,200235.11122555524
2020-11-16,200235.11122555524
2020-11-17,200235.11122555524
2020-11-18,200235.11122555524
2020-11-19,201129.43243114755
2020-11-20,201129.43243114755
2020-11-23,203449.8806342288
2020-11-24,207208.4414635964
2020-11-25,207208.4414635964
2020-11-27,207208.4414635964
2020-11-30,207208.4414635964
2020-12-01,212718.90624503675
2020-12-02,212718.90624503675
2020-12-03,212718.90624503675
2020-12-04,212718.90624503675
2020-12-07,212718.90624503675
2020-12-08,213564.9126151872
2020-12-09,214056.55721218503
2020-12-10,215830.09343754523
2020-12-11,215830.09343754523
2020-12-14,215830.09343754523
2020-12-15,218198.9359133998
2020-12-16,218198.9359133998
2020-12-17,218198.9359133998
2020-12-18,217550.86694086145
2020-12-21,210411.42554664964
2020-12-22,210411.42554664964
2020-12-23,210411.42554664964
2020-12-24,211143.8638463746
2020-12-28,211143.8638463746
2020-12-29,214111.83272518296
2020-12-30,213552.0401387783
2020-12-31,213767.86730961106
2021-01-04,217270.61638974704
2021-01-05,212244.70750896467
2021-01-06,212244.70750896467
2021-01-07,212244.70750896467
2021-01-08,212244.70750896467
2021-01-11,207221.17752409418
2021-01-12,208886.66226325245
2021-01-13,208886.66226325245
2021-01-14,211362.602836745
2021-01-15,211362.602836745
2021-01-19,212609.1266749383
2021-01-20,215174.23927325345
2021-01-21,215043.1986015652
2021-01-22,209982.51532780836
2021-01-25,209311.55964318756
2021-01-26,216907.47796115803
2021-01-27,215944.99698267953
2021-01-28,217855.64035581052
2021-01-29,217855.64035581052
2021-02-01,221922.55300803768
2021-02-02,221922.55300803768
2021-02-03,224768.75637275082
2021-02-04,224536.72916631793
2021-02-05,228857.28654645706
2021-02-08,228857.28654645706
2021-02-09,228857.28654645706
2021-02-10,228857.28654645706
2021-02-11,232367.8861946576
2021-02-12,229898.89503824167
2021-02-16,229898.89503824167
2021-02-17,228711.03333023615
2021-02-18,228711.03333023615
2021-02-19,228568.91057855103
2021-02-22,228568.91057855103
2021-02-23,228568.91057855103
2021-02-24,228568.91057855103
2021-02-25,228568.91057855103
2021-02-26,231948.61643725832
2021-03-01,236055.87771520362
2021-03-02,230896.3452708756
2021-03-03,230896.3452708756
2021-03-04,230896.3452708756
2021-03-05,235026.86241442076
2021-03-08,235026.86241442076
2021-03-09,234299.27732452165
2021-03-10,234299.27732452165
2021-03-11,234299.27732452165
2021-03-12,234299.27732452165
2021-03-15,234299.27732452165
2021-03-16,234299.27732452165
2021-03-17,232650.55367695654
2021-03-18,232650.55367695654
2021-03-19,234899.23082222693
2021-03-22,234899.23082222693
2021-03-23,234899.23082222693
2021-03-24,235170.3989184854
2021-03-25,234684.61409445078
2021-03-26,234684.61409445078
2021-03-29,232249.58211609165
2021-03-30,232249.58211609165
2021-03-31,232249.58211609165
2021-04-01,232249.58211609165
2021-04-05,238500.34053829408
2021-04-06,238500.34053829408
2021-04-07,238500.34053829408
2021-04-08,241528.0116910004
2021-04-09,241528.0116910004
2021-04-12,244285.66154173014
2021-04-13,242488.78536440048
2021-04-14,242488.78536440048
2021-04-15,242488.78536440048
2021-04-16,240869.7643860556
2021-04-19,240869.7643860556
2021-04-20,240869.7643860556
2021-04-21,239584.24575311303
2021-04-22,239584.24575311303
2021-04-23,241058.46515398225
2021-04-26,243553.06427481206
2021-04-27,242994.40168483226
2021-04-28,246440.64614514008
2021-04-29,246440.64614514008
2021-04-30,243559.86926249953
2021-05-03,244127.24464765843
2021-05-04,244127.24464765843
2021-05-05,247715.90475116318
2021-05-06,247715.90475116318
2021-05-07,247715.90475116318
2021-05-10,247715.90475116318
2021-05-11,243354.8505697971
2021-05-12,243354.8505697971
2021-05-13,245095.55350093165
2021-05-14,245095.55350093165
2021-05-17,243085.76996222403
2021-05-18,243085.76996222403
2021-05-19,243085.76996222403
2021-05-20,243911.91167654828
2021-05-21,243911.91167654828
2021-05-24,245343.77626918186
2021-05-25,245343.77626918186
2021-05-26,246284.7953923347
2021-05-27,246284.7953923347
2021-05-28,246284.7953923347
2021-06-01,246284.7953923347
2021-06-02,246284.7953923347
2021-06-03,246284.7953923347
2021-06-04,246284.7953923347
2021-06-07,246284.7953923347
2021-06-08,246284.7953923347
2021-06-09,246284.7953923347
2021-06-10,247484.35666414822
2021-06-11,246630.4686010576
2021-06-14,250015.35203714328
2021-06-15,249603.793866176
2021-06-16,249603.793866176
2021-06-17,251737.7925579271
2021-06-18,254272.21147965832
2021-06-21,255811.72774933968
2021-06-22,255811.72774933968
2021-06-23,255811.72774933968
2021-06-24,258610.06722205415
2021-06-25,258610.06722205415
2021-06-28,259488.93199242427
2021-06-29,258413.22565081896
2021-06-30,258413.22565081896
2021-07-01,258413.22565081896
2021-07-02,262014.70616593107
2021-07-06,262014.70616593107
2021-07-07,264182.7668362736
2021-07-08,264182.7668362736
2021-07-09,264182.7668362736
2021-07-12,264182.7668362736
2021-07-13,264182.7668362736
2021-07-14,264182.7668362736
2021-07-15,263452.0419515816
2021-07-16,264571.55195231957
2021-07-19,257956.54728910944
2021-07-20,254985.07312587166
2021-07-21,254985.07312587166
2021-07-22,254985.07312587166
2021-07-23,256492.42644356654
2021-07-26,256638.58171227595
2021-07-27,256638.58171227595
2021-07-28,256638.58171227595
2021-07-29,256638.58171227595
2021-07-30,252477.2133949548
2021-08-02,259802.68075970837
2021-08-03,255513.1619354369
2021-08-04,255513.1619354369
2021-08-05,260273.60570277556
2021-08-06,262385.345803392
2021-08-09,262023.4520528594
2021-08-10,262590.976665413
2021-08-11,262590.976665413
2021-08-12,262590.976665413
2021-08-13,262854.199123385
2021-08-16,262854.199123385
2021-08-17,261197.5546518066
2021-08-18,257714.14857730575
2021-08-19,251656.5556748141
2021-08-20,251656.5556748141
2021-08-23,251656.5556748141
2021-08-24,256735.52995705116
2021-08-25,256735.52995705116
2021-08-26,256735.52995705116
2021-08-27,258579.68717395843
2021-08-30,258579.68717395843
2021-08-31,258579.68717395843
2021-09-01,258423.07075491152
2021-09-02,258423.07075491152
2021-09-03,259751.0575657354
2021-09-07,261731.75566301506
2021-09-08,257501.12913551833
2021-09-09,259797.6635218692
2021-09-10,259797.6635218692
2021-09-13,265289.828264066
2021-09-14,265289.828264066
2021-09-15,263669.65738883644
2021-09-16,263669.65738883644
2021-09-17,259182.63426453221
2021-09-20,253728.76500577992
2021-09-21,255648.50303765692
2021-09-22,255648.50303765692
2021-09-23,256613.19520342417
2021-09-24,256613.19520342417
2021-09-27,256613.19520342417
2021-09-28,254743.53282866394
2021-09-29,256448.62869582517
2021-09-30,258388.94549718927
2021-10-01,263087.06450031756
2021-10-04,263087.06450031756
2021-10-05,263519.4002017038
2021-10-06,259803.31263025894
2021-10-07,259803.31263025894
2021-10-08,259803.31263025894
2021-10-11,259803.31263025894
2021-10-12,260825.90611004553
2021-10-13,261615.1148195011
2021-10-14,261615.1148195011
2021-10-15,262038.67195082462
2021-10-18,262038.67195082462
2021-10-19,262038.67195082462
2021-10-20,262725.44241657783
2021-10-21,262725.44241657783
2021-10-22,259192.2364128602
2021-10-25,259192.2364128602
2021-10-26,259192.2364128602
2021-10-27,263031.41943230823
2021-10-28,260311.6669349604
2021-10-29,259365.5017220127
2021-11-01,260750.1948447006
2021-11-02,260750.1948447006
2021-11-03,262145.9257463131
2021-11-04,262145.9257463131
2021-11-05,267384.0298759229
2021-11-08,267384.0298759229
2021-11-09,267384.0298759229
2021-11-10,271226.38643385144
2021-11-11,279594.5034718323
2021-11-12,279594.5034718323
2021-11-15,279939.91639430326
2021-11-16,276133.5371866032
2021-11-17,276349.0296332704
2021-11-18,274508.2044668902
2021-11-19,279598.59338591323
2021-11-22,284356.01654071506
2021-11-23,284587.100797195
2021-11-24,284587.100797195
2021-11-26,284587.100797195
2021-11-29,284587.100797195
2021-11-30,284959.85690617067
2021-12-01,290564.3190455081
2021-12-02,297127.0399662678
2021-12-03,297127.0399662678
2021-12-06,299130.99678026256
2021-12-07,299130.99678026256
2021-12-08,299130.99678026256
2021-12-09,299130.99678026256
2021-12-10,300811.1472950913
2021-12-13,300811.1472950913
2021-12-14,303384.5456937021
2021-12-15,301983.436329363
2021-12-16,301983.436329363
2021-12-17,301983.436329363
2021-12-20,301983.436329363
2021-12-21,301923.0396420971
2021-12-22,301923.0396420971
2021-12-23,301923.0396420971
2021-12-27,301923.0396420971
2021-12-28,301923.0396420971
2021-12-29,301923.0396420971
2021-12-30,308101.9920429016
2021-12-31,308101.9920429016
2022-01-03,308101.9920429016
2022-01-04,305412.3064840669
2022-01-05,305412.3064840669
2022-01-06,308356.3166292938
2022-01-07,308356.3166292938
2022-01-10,308356.3166292938
2022-01-11,310490.46857695986
2022-01-12,310490.46857695986
2022-01-13,310490.46857695986
2022-01-14,310490.46857695986
2022-01-18,310490.46857695986
2022-01-19,320168.0905051453
2022-01-20,320168.0905051453
2022-01-21,321855.2041459603
2022-01-24,316916.4770992492
2022-01-25,316916.4770992492
2022-01-26,316916.4770992492
2022-01-27,324351.56402090983
2022-01-28,326428.09928042686
2022-01-31,327801.4566719433
2022-02-01,327801.4566719433
2022-02-02,327801.4566719433
2022-02-03,323508.01860754
2022-02-04,323508.01860754
2022-02-07,323508.01860754
2022-02-08,323508.01860754
2022-02-09,323508.01860754
2022-02-10,323508.01860754
2022-02-11,323508.01860754
2022-02-14,326448.8813658818
2022-02-15,329665.859353656
2022-02-16,329665.859353656
2022-02-17,329665.859353656
2022-02-18,332350.579993664
2022-02-22,337412.1213287769
2022-02-23,337412.1213287769
2022-02-24,321869.55389680306
2022-02-25,321869.55389680306
2022-02-28,321869.55389680306
2022-03-01,321869.55389680306
2022-03-02,321869.55389680306
2022-03-03,321869.55389680306
2022-03-04,315030.3244036049
2022-03-07,315030.3244036049
2022-03-08,318109.7654649447
2022-03-09,325272.92463559064
2022-03-10,325272.92463559064
2022-03-11,325272.92463559064
2022-03-14,326144.8702450871
2022-03-15,319884.40312792745
2022-03-16,325889.8155261414
2022-03-17,325889.8155261414
2022-03-18,325889.8155261414
2022-03-21,325889.8155261414
2022-03-22,325889.8155261414
2022-03-23,326322.5593591036
2022-03-24,326322.5593591036
2022-03-25,326322.5593591036
2022-03-28,326322.5593591036
2022-03-29,326322.5593591036
2022-03-30,326967.72131898603
2022-03-31,330232.66469612333
2022-04-01,337241.3194039507
2022-04-04,337241.3194039507
2022-04-05,337241.3194039507
2022-04-06,333428.08794353734
2022-04-07,332388.95438444364
2022-04-08,332388.95438444364
2022-04-11,332388.95438444364
2022-04-12,339727.78200534586
2022-04-13,338417.68733740784
2022-04-14,338417.68733740784
2022-04-18,339597.8566293556
2022-04-19,339597.8566293556
2022-04-20,339597.8566293556
2022-04-21,339597.8566293556
2022-04-22,336833.6969864923
2022-04-25,329047.5019479182
2022-04-26,329047.5019479182
2022-04-27,331616.2910724804
2022-04-28,331616.2910724804
2022-04-29,331616.2910724804
2022-05-02,326270.7809434011
2022-05-03,329887.40191938623
2022-05-04,329887.40191938623
2022-05-05,329887.40191938623
2022-05-06,324528.34817229933
2022-05-09,324528.34817229933
2022-05-10,328146.2426407981
2022-05-11,332987.1951807368
2022-05-12,330237.6212362158
2022-05-13,330237.6212362158
2022-05-16,330237.6212362158
2022-05-17,330237.6212362158
2022-05-18,325659.0099435234
2022-05-19,330045.4323141929
2022-05-20,330045.4323141929
2022-05-23,330045.4323141929
2022-05-24,330045.4323141929
2022-05-25,330045.4323141929
2022-05-26,330045.4323141929
2022-05-27,330045.4323141929
2022-05-31,330045.4323141929
2022-06-01,332293.72699931375
2022-06-02,335477.40251642675
2022-06-03,335477.40251642675
2022-06-06,335477.40251642675
2022-06-07,327485.64398435433
2022-06-08,327485.64398435433
2022-06-09,324468.617085932
2022-06-10,312776.931250269
2022-06-13,312776.931250269
2022-06-14,313421.3761606968
2022-06-15,317069.5096360011
2022-06-16,317069.5096360011
2022-06-17,315976.1715728433
2022-06-21,318287.62112254254
2022-06-22,312984.04509441915
2022-06-23,312984.04509441915
2022-06-24,312467.62898366834
2022-06-27,312467.62898366834
2022-06-28,312467.62898366834
2022-06-29,316257.27313144936
2022-06-30,309176.0368622914
2022-07-01,309176.0368622914
2022-07-05,309176.0368622914
2022-07-06,309176.0368622914
2022-07-07,316651.3289217111
2022-07-08,316651.3289217111
2022-07-11,307691.6041766977
2022-07-12,301833.19874693104
2022-07-13,301833.19874693104
2022-07-14,301833.19874693104
2022-07-15,301463.25959564635
2022-07-18,301463.25959564635
2022-07-19,303383.2713271246
2022-07-20,303383.2713271246
2022-07-21,299493.93148094695
2022-07-22,299493.93148094695
2022-07-25,306069.3463830504
2022-07-26,306069.3463830504
2022-07-27,309715.36781395605
2022-07-28,309715.36781395605
2022-07-29,309715.36781395605
2022-08-01,309715.36781395605
2022-08-02,307811.56756675127
2022-08-03,307608.2219425208
2022-08-04,307608.2219425208
2022-08-05,307608.2219425208
2022-08-08,307608.2219425208
2022-08-09,307608.2219425208
2022-08-10,315558.69924710493
2022-08-11,317603.7040784261
2022-08-12,321861.3221686094
2022-08-15,321861.3221686094
2022-08-16,321861.3221686094
2022-08-17,321861.3221686094
2022-08-18,321861.3221686094
2022-08-19,316894.1631934971
2022-08-22,312829.59543164755
2022-08-23,312829.59543164755
2022-08-24,312829.59543164755
2022-08-25,312829.59543164755
2022-08-26,312829.59543164755
2022-08-29,312254.1941102143
2022-08-30,312254.1941102143
2022-08-31,307074.97286370385
2022-09-01,307805.32831914496
2022-09-02,312781.0637548281
2022-09-06,310459.68082846963
2022-09-07,307704.9637333407
2022-09-08,307704.9637333407
2022-09-09,307704.9637333407
2022-09-12,307704.9637333407
2022-09-13,307704.9637333407
2022-09-14,307774.36102303374
2022-09-15,307774.36102303374
2022-09-16,301323.02702924365
2022-09-19,301323.02702924365
2022-09-20,301323.02702924365
2022-09-21,301323.02702924365
2022-09-22,303160.2625940471
2022-09-23,303160.2625940471
2022-09-26,295339.555560452
2022-09-27,298190.23696520645
2022-09-28,299605.46070136444
2022-09-29,299605.46070136444
2022-09-30,299605.46070136444
2022-10-03,299605.46070136444
2022-10-04,299605.46070136444
2022-10-05,296660.0937597728
2022-10-06,296660.0937597728
2022-10-07,296660.0937597728
2022-10-10,298638.42703149206
2022-10-11,296043.7733284377
2022-10-12,293899.74926864216
2022-10-13,288311.91885177797
2022-10-14,288311.91885177797
2022-10-17,293071.8078112893
2022-10-18,293071.8078112893
