entry_time,pct_return_gross
2022-03-31,101565.00446118426
2022-04-01,101580.28599646427
2022-04-04,101557.74024107587
2022-04-05,101539.8864715414
2022-04-06,101548.88104053374
2022-04-07,101544.13360298886
2022-04-08,101513.63347729128
2022-04-11,101507.03510919063
2022-04-12,101527.46249681138
2022-04-13,101505.22223265615
2022-04-14,101505.95439153009
2022-04-18,101534.74585532236
2022-04-19,101533.43220270192
2022-04-20,101506.76707829293
2022-04-21,101457.84595329259
2022-04-22,101462.69397978624
2022-04-25,101438.40445809408
2022-04-26,101440.76930497514
2022-04-27,101461.9485958757
2022-04-28,101396.06771035831
2022-04-29,101401.12234690785
2022-05-02,101404.97009787486
2022-05-03,101430.4844212688
2022-05-04,101400.697643103
2022-05-05,101395.68678578852
2022-05-06,101368.84827538446
2022-05-09,101370.78410888194
2022-05-10,101357.46766658583
2022-05-11,101356.58784105726
2022-05-12,101376.6330253474
2022-05-13,101369.41709183343
2022-05-16,101386.64065945747
2022-05-17,101352.85820753395
2022-05-18,101347.72822008171
2022-05-19,101348.0926842045
2022-05-20,101363.77517098845
2022-05-23,101357.3708995193
2022-05-24,101364.76771136542
2022-05-25,101381.50655012547
2022-05-26,101425.25891691305
2022-05-27,101420.54241342105
2022-05-31,101413.76144485643
2022-06-01,101429.6427319019
2022-06-02,101415.96637690326
2022-06-03,101418.53611179086
2022-06-06,101426.56411668789
2022-06-07,101407.21991476996
2022-06-08,101387.26741372513
2022-06-09,101362.96870797021
2022-06-10,101331.15709902851
2022-06-13,101328.63139866435
2022-06-14,101340.56639667653
2022-06-15,101281.66352189021
2022-06-16,101283.4490692514
2022-06-17,101304.5243421193
2022-06-21,101303.02104507647
2022-06-22,101311.23671368287
2022-06-23,101337.86232901036
2022-06-24,101334.65368141507
2022-06-27,101317.54702101662
2022-06-28,101316.8518138067
2022-06-29,101310.06102612046
2022-06-30,101318.91588775406
2022-07-01,101320.48850121367
2022-07-05,101326.52148350401
2022-07-06,101353.16158673877
2022-07-07,101351.7162204924
2022-07-08,101331.37036230764
2022-07-11,101315.62135176701
2022-07-12,101306.2760180109
2022-07-13,101301.92517501635
2022-07-14,101335.92435933292
2022-07-15,101321.2323016118
2022-07-18,101343.87342739124
2022-07-19,101355.19442541916
2022-07-20,101363.72854163907
2022-07-21,101347.2328889238
2022-07-22,101349.36729769384
2022-07-25,101328.33486411479
2022-07-26,101374.53546432791
2022-07-27,101396.73384810044
2022-07-28,101409.01007340525
2022-07-29,101406.54740506578
2022-08-01,101401.00601190327
2022-08-02,101428.8937915194
2022-08-03,101427.71776783728
2022-08-04,101424.68445850127
2022-08-05,101422.59872765928
2022-08-08,101415.56188901677
2022-08-09,101452.98429007297
2022-08-10,101452.98429007297
2022-08-11,101483.12993756722
2022-08-12,101490.4667121444
2022-08-15,101493.96755892353
2022-08-16,101481.30408317153
2022-08-17,101486.49300648007
2022-08-18,101462.5501656619
2022-08-19,101425.44384802952
2022-08-22,101421.13400409148
2022-08-23,101426.81873176285
2022-08-24,101451.9779964185
2022-08-25,101391.6621381364
2022-08-26,101379.86849863328
2022-08-29,101370.6680993
2022-08-30,101364.28853347439
2022-08-31,101366.92190279308
2022-09-01,101358.08930655061
2022-09-02,101351.35231547039
2022-09-06,101383.33832792535
2022-09-07,101394.9780381342
2022-09-08,101422.65040891898
2022-09-09,101441.83665166998
2022-09-12,101364.34755762282
2022-09-13,101371.11638914482
2022-09-14,101361.59413794547
2022-09-15,101355.24237697561
2022-09-16,101361.73408995495
2022-09-19,101352.12682873232
2022-09-20,101337.49316857399
2022-09-21,101322.56212067699
2022-09-22,101292.75049498671
