entry_time,entry_price
2021-11-10,928021.1904341861
2021-11-11,928915.689217824
2021-11-12,949949.9138956713
2021-11-15,950923.2897210985
2021-11-16,962222.1597300763
2021-11-17,955219.1825098942
2021-11-18,964923.5615771895
2021-11-19,959743.5560482005
2021-11-22,951642.0651396267
2021-11-23,955410.0869699669
2021-11-24,963096.2713389273
2021-11-26,898658.4709039304
2021-11-29,931719.9029303703
2021-11-30,877309.4748519467
2021-12-01,848110.9041852796
2021-12-02,887050.1733980092
2021-12-03,863898.4300554665
2021-12-06,894610.7642461042
2021-12-07,950129.743956739
2021-12-08,957642.3575824985
2021-12-09,938241.2456427156
2021-12-10,964763.7394449362
2021-12-13,939250.6961352467
2021-12-14,919717.3316020258
2021-12-15,962863.7301063071
2021-12-16,937393.4483015504
2021-12-17,907565.349296517
2021-12-20,878627.8766030972
2021-12-21,925431.7943435707
2021-12-22,953210.0039411627
2021-12-23,970972.0836736596
2021-12-27,1012184.8578111588
2021-12-28,1009688.9671254528
2021-12-29,1013595.0074180369
2021-12-30,1005155.1342547507
2021-12-31,997567.9598317284
2022-01-03,1014937.1059692509
2022-01-04,1013923.4753205624
2022-01-05,955509.7058456857
2022-01-06,952784.4982098367
2022-01-07,941515.839788921
2022-01-10,937982.1035265769
2022-01-11,963489.4402066215
2022-01-12,971448.7480751605
2022-01-13,931302.4428673817
2022-01-14,932386.4648823593
2022-01-18,882865.6652326481
2022-01-19,855368.3859434205
2022-01-20,827002.6526631734
2022-01-21,778251.5351631658
2022-01-24,788198.6862298844
2022-01-25,759300.9809376013
2022-01-26,753575.5117189838
2022-01-27,742458.8165050063
2022-01-28,797766.7504696079
2022-01-31,840884.6223373788
2022-02-01,857886.2013261025
2022-02-02,882886.630160216
2022-02-03,820625.8997212108
2022-02-04,832198.0048522413
2022-02-07,824234.1053232804
2022-02-08,844573.2629500176
2022-02-09,881626.2267349551
2022-02-10,834128.115805543
2022-02-11,784765.3665266306
2022-02-14,777058.2543192634
2022-02-15,814665.1114883083
2022-02-16,817395.1186353724
2022-02-17,765059.942248135
2022-02-18,750194.4994541131
2022-02-22,726016.5386835629
2022-02-23,688010.7367103704
