date,instrument,score
2019-10-31,XLE,-0.088076
2019-10-31,XLF,0.100799
2019-10-31,XLI,0.044667
2019-10-31,XLK,0.09554
2019-10-31,XLP,0.109513
2019-10-31,XLU,0.130398
2019-10-31,XLV,-0.009341
2019-10-31,XLY,0.067191
2019-11-30,XLB,0.024077
2019-11-30,XLE,-0.107187
2019-11-30,XLF,0.035045
2019-11-30,XLI,0.016236
2019-11-30,XLK,0.070057
2019-11-30,XLP,0.074113
2019-11-30,XLU,0.111393
2019-11-30,XLV,0.070364
2019-11-30,XLY,0.013312
2019-12-31,XLB,0.150787
2019-12-31,XLE,0.02057
2019-12-31,XLF,0.17025
2019-12-31,XLI,0.149813
2019-12-31,XLK,0.234005
2019-12-31,XLP,0.130228
2019-12-31,XLU,0.099488
2019-12-31,XLV,0.149483
2019-12-31,XLY,0.111218
2020-01-31,XLB,0.060713
2020-01-31,XLE,-0.010684
2020-01-31,XLF,0.126749
2020-01-31,XLI,0.064204
2020-01-31,XLK,0.18088
2020-01-31,XLP,0.099876
2020-01-31,XLU,0.100538
2020-01-31,XLV,0.117911
2020-01-31,XLY,0.059148
2020-02-29,XLB,-0.001964
2020-02-29,XLE,-0.105903
2020-02-29,XLF,0.07117
2020-02-29,XLI,0.05518
2020-02-29,XLK,0.188436
2020-02-29,XLP,0.077635
2020-02-29,XLU,0.176544
2020-02-29,XLV,0.103979
2020-02-29,XLY,0.045039
2020-03-31,XLB,-0.060226
2020-03-31,XLE,-0.173769
2020-03-31,XLF,-0.000422
2020-03-31,XLI,-0.025482
2020-03-31,XLK,0.118196
2020-03-31,XLP,-0.031508
2020-03-31,XLU,0.009069
2020-03-31,XLV,0.035444
2020-03-31,XLY,-0.02504
2020-04-30,XLB,-0.216693
2020-04-30,XLE,-0.47836
2020-04-30,XLF,-0.24647
2020-04-30,XLI,-0.230802
2020-04-30,XLK,0.006567
2020-04-30,XLP,-0.100832
2020-04-30,XLU,-0.128593
2020-04-30,XLV,-0.001985
2020-04-30,XLY,-0.180638
2020-05-31,XLB,-0.097571
2020-05-31,XLE,-0.302932
2020-05-31,XLF,-0.195276
2020-05-31,XLI,-0.17178
2020-05-31,XLK,0.101618
2020-05-31,XLP,-0.034208
2020-05-31,XLU,-0.092607
2020-05-31,XLV,0.069043
2020-05-31,XLY,-0.02715
2020-06-30,XLB,-0.065325
2020-06-30,XLE,-0.300046
2020-06-30,XLF,-0.212598
2020-06-30,XLI,-0.16466
2020-06-30,XLK,0.121219
2020-06-30,XLP,-0.031442
2020-06-30,XLU,-0.036117
2020-06-30,XLV,0.051478
2020-06-30,XLY,0.022818
2020-07-31,XLB,-0.07127
2020-07-31,XLE,-0.347732
2020-07-31,XLF,-0.236669
2020-07-31,XLI,-0.146421
2020-07-31,XLK,0.149034
2020-07-31,XLP,-0.056169
2020-07-31,XLU,-0.110526
2020-07-31,XLV,-0.008581
2020-07-31,XLY,0.025568
2020-08-31,XLB,0.060213
2020-08-31,XLE,-0.301942
2020-08-31,XLF,-0.185811
2020-08-31,XLI,-0.104862
2020-08-31,XLK,0.167625
2020-08-31,XLP,0.005972
2020-08-31,XLU,-0.101796
2020-08-31,XLV,0.074099
2020-08-31,XLY,0.10101
2020-09-30,XLB,0.209462
2020-09-30,XLE,-0.184527
2020-09-30,XLF,-0.045167
2020-09-30,XLI,0.077842
2020-09-30,XLK,0.408494
2020-09-30,XLP,0.146198
2020-09-30,XLU,-0.029308
2020-09-30,XLV,0.181807
2020-09-30,XLY,0.3051
2020-10-31,XLB,0.427214
2020-10-31,XLE,0.061135
2020-10-31,XLF,0.168094
2020-10-31,XLI,0.316044
2020-10-31,XLK,0.458246
2020-10-31,XLP,0.193069
2020-10-31,XLU,0.08941
2020-10-31,XLV,0.200771
2020-10-31,XLY,0.505137
2020-11-30,XLB,0.230135
2020-11-30,XLE,-0.222296
2020-11-30,XLF,0.059687
2020-11-30,XLI,0.191533
2020-11-30,XLK,0.220055
2020-11-30,XLP,0.083518
2020-11-30,XLU,0.107518
2020-11-30,XLV,0.02771
2020-11-30,XLY,0.231545
2020-12-31,XLB,0.294596
2020-12-31,XLE,-0.02356
2020-12-31,XLF,0.205238
2020-12-31,XLI,0.311791
2020-12-31,XLK,0.266752
2020-12-31,XLP,0.145289
2020-12-31,XLU,0.070508
2020-12-31,XLV,0.073757
2020-12-31,XLY,0.27159
2021-01-31,XLB,0.297018
2021-01-31,XLE,0.031788
2021-01-31,XLF,0.287081
2021-01-31,XLI,0.301779
2021-01-31,XLK,0.25
2021-01-31,XLP,0.166634
2021-01-31,XLU,0.129755
2021-01-31,XLV,0.142763
2021-01-31,XLY,0.2639
2021-02-28,XLB,0.180772
2021-02-28,XLE,0.124478
2021-02-28,XLF,0.217612
2021-02-28,XLI,0.190324
2021-02-28,XLK,0.172727
2021-02-28,XLP,0.036735
2021-02-28,XLU,0.039216
2021-02-28,XLV,0.099221
2021-02-28,XLY,0.187156
2021-03-31,XLB,0.178165
2021-03-31,XLE,0.390724
2021-03-31,XLF,0.303271
2021-03-31,XLI,0.170804
2021-03-31,XLK,0.062341
2021-03-31,XLP,-0.021111
2021-03-31,XLU,0.00161
2021-03-31,XLV,0.048815
2021-03-31,XLY,0.077041
2021-04-30,XLB,0.249912
2021-04-30,XLE,0.678189
2021-04-30,XLF,0.430339
2021-04-30,XLI,0.288741
2021-04-30,XLK,0.14388
2021-04-30,XLP,0.080462
2021-04-30,XLU,0.096016
2021-04-30,XLV,0.115126
2021-04-30,XLY,0.147469
2021-05-31,XLB,0.326509
2021-05-31,XLE,0.762232
2021-05-31,XLF,0.534626
2021-05-31,XLI,0.353152
2021-05-31,XLK,0.264623
2021-05-31,XLP,0.132987
2021-05-31,XLU,0.086841
2021-05-31,XLV,0.2026
2021-05-31,XLY,0.255702
2021-06-30,XLB,0.239485
2021-06-30,XLE,0.453753
2021-06-30,XLF,0.375741
2021-06-30,XLI,0.202741
2021-06-30,XLK,0.125739
2021-06-30,XLP,0.072935
2021-06-30,XLU,0.053444
2021-06-30,XLV,0.135291
2021-06-30,XLY,0.102871
2021-07-31,XLB,0.146842
2021-07-31,XLE,0.451861
2021-07-31,XLF,0.255019
2021-07-31,XLI,0.16142
2021-07-31,XLK,0.140112
2021-07-31,XLP,0.049821
2021-07-31,XLU,0.023943
2021-07-31,XLV,0.118504
2021-07-31,XLY,0.113937
2021-08-31,XLB,0.200566
2021-08-31,XLE,0.282622
2021-08-31,XLF,0.272624
2021-08-31,XLI,0.228016
2021-08-31,XLK,0.194444
2021-08-31,XLP,0.129205
2021-08-31,XLU,0.077736
2021-08-31,XLV,0.1569
2021-08-31,XLY,0.117336
2021-09-30,XLB,0.174464
2021-09-30,XLE,0.026781
2021-09-30,XLF,0.198779
2021-09-30,XLI,0.163612
2021-09-30,XLK,0.221496
2021-09-30,XLP,0.155491
2021-09-30,XLU,0.192524
2021-09-30,XLV,0.209347
2021-09-30,XLY,0.144227
2021-10-31,XLB,0.0129
2021-10-31,XLE,0.085336
2021-10-31,XLF,0.111503
2021-10-31,XLI,0.00011
2021-10-31,XLK,0.128285
2021-10-31,XLP,0.020538
2021-10-31,XLU,0.012723
2021-10-31,XLV,0.098598
2021-10-31,XLY,0.070889
2021-11-30,XLB,0.034061
2021-11-30,XLE,0.189479
2021-11-30,XLF,0.119434
2021-11-30,XLI,0.031657
2021-11-30,XLK,0.160321
2021-11-30,XLP,0.037049
2021-11-30,XLU,0.018144
2021-11-30,XLV,0.111121
2021-11-30,XLY,0.127605
2021-12-31,XLB,-0.021524
2021-12-31,XLE,0.069617
2021-12-31,XLF,0.007467
2021-12-31,XLI,-0.035315
2021-12-31,XLK,0.22339
2021-12-31,XLP,0.005316
2021-12-31,XLU,0.025009
2021-12-31,XLV,0.057436
2021-12-31,XLY,0.18631
2022-01-31,XLB,0.111468
2022-01-31,XLE,0.056145
2022-01-31,XLF,0.074052
2022-01-31,XLI,0.04055
2022-01-31,XLK,0.181742
2022-01-31,XLP,0.116456
2022-01-31,XLU,0.149799
2022-01-31,XLV,0.126864
2022-01-31,XLY,0.148532
2022-02-28,XLB,0.014664
2022-02-28,XLE,0.367888
2022-02-28,XLF,0.079143
2022-02-28,XLI,-0.018526
2022-02-28,XLK,0.059762
2022-02-28,XLP,0.076228
2022-02-28,XLU,0.065826
2022-02-28,XLV,0.000408
2022-02-28,XLY,0.028127
2022-03-31,XLB,-0.016705
2022-03-31,XLE,0.495079
2022-03-31,XLF,0.012168
2022-03-31,XLI,-0.037571
2022-03-31,XLK,-0.026632
2022-03-31,XLP,0.050188
2022-03-31,XLU,0.006404
2022-03-31,XLV,-0.031779
2022-03-31,XLY,-0.031031
2022-04-30,XLB,0.124031
2022-04-30,XLE,0.50113
2022-04-30,XLF,0.029692
2022-04-30,XLI,0.060061
2022-04-30,XLK,0.068358
2022-04-30,XLP,0.11502
2022-04-30,XLU,0.182699
2022-04-30,XLV,0.08358
2022-04-30,XLY,0.034024
2022-05-31,XLB,0.00772
2022-05-31,XLE,0.337428
2022-05-31,XLF,-0.135447
2022-05-31,XLI,-0.083025
2022-05-31,XLK,-0.121251
2022-05-31,XLP,0.102118
2022-05-31,XLU,0.080877
2022-05-31,XLV,-0.019616
2022-05-31,XLY,-0.187713
2022-06-30,XLB,0.025362
2022-06-30,XLE,0.63319
2022-06-30,XLF,-0.057298
2022-06-30,XLI,-0.053528
2022-06-30,XLK,-0.164437
2022-06-30,XLP,0.071623
2022-06-30,XLU,0.146392
2022-06-30,XLV,0.02637
2022-06-30,XLY,-0.241772
2022-07-31,XLB,-0.179173
2022-07-31,XLE,0.315195
2022-07-31,XLF,-0.186983
2022-07-31,XLI,-0.168198
2022-07-31,XLK,-0.265629
2022-07-31,XLP,-0.052517
2022-07-31,XLU,-0.006037
2022-07-31,XLV,-0.083067
2022-07-31,XLY,-0.324982
2022-08-31,XLB,-0.065032
2022-08-31,XLE,0.214663
2022-08-31,XLF,-0.129032
2022-08-31,XLI,-0.043266
2022-08-31,XLK,-0.105639
2022-08-31,XLP,-0.00751
2022-08-31,XLU,0.083771
2022-08-31,XLV,0.016333
2022-08-31,XLY,-0.116269
2022-09-30,XLB,-0.085991
2022-09-30,XLE,0.164253
2022-09-30,XLF,-0.133911
2022-09-30,XLI,-0.06246
2022-09-30,XLK,-0.11816
2022-09-30,XLP,-0.012097
2022-09-30,XLU,0.110516
2022-09-30,XLV,-0.032905
2022-09-30,XLY,-0.12015
2022-10-31,XLB,-0.218719
2022-10-31,XLE,-0.037026
2022-10-31,XLF,-0.199328
2022-10-31,XLI,-0.188172
2022-10-31,XLK,-0.248799
2022-10-31,XLP,-0.108291
2022-10-31,XLU,-0.107132
2022-10-31,XLV,-0.108641
2022-10-31,XLY,-0.226637
2022-11-30,XLB,-0.117722
2022-11-30,XLE,0.224127
2022-11-30,XLF,-0.004974
2022-11-30,XLI,0.000895
2022-11-30,XLK,-0.091161
2022-11-30,XLP,-0.049914
2022-11-30,XLU,-0.049144
2022-11-30,XLV,0.027224
2022-11-30,XLY,-0.11186
2022-12-31,XLB,-0.025997
2022-12-31,XLE,0.06862
2022-12-31,XLF,0.034472
2022-12-31,XLI,0.083989
2022-12-31,XLK,-0.027023
2022-12-31,XLP,0.050987
2022-12-31,XLU,-0.024628
2022-12-31,XLV,0.05995
2022-12-31,XLY,-0.049973
2023-01-31,XLB,0.068268
2023-01-31,XLE,0.249523
2023-01-31,XLF,0.099729
2023-01-31,XLI,0.135211
2023-01-31,XLK,-0.01586
2023-01-31,XLP,0.046853
2023-01-31,XLU,0.02046
2023-01-31,XLV,0.067944
2023-01-31,XLY,-0.055898
2023-02-28,XLB,0.096605
2023-02-28,XLE,0.171213
2023-02-28,XLF,0.097183
2023-02-28,XLI,0.07515
2023-02-28,XLK,-0.052211
2023-02-28,XLP,0.003412
2023-02-28,XLU,-0.051834
2023-02-28,XLV,0.015428
2023-02-28,XLY,-0.08234
2023-03-31,XLB,0.09837
2023-03-31,XLE,0.061917
2023-03-31,XLF,0.092963
2023-03-31,XLI,0.096966
2023-03-31,XLK,0.014601
2023-03-31,XLP,-0.001361
2023-03-31,XLU,-0.112485
2023-03-31,XLV,0.027543
2023-03-31,XLY,-0.059644
2023-04-30,XLB,0.198928
2023-04-30,XLE,0.174117
2023-04-30,XLF,0.070979
2023-04-30,XLI,0.23217
2023-04-30,XLK,0.277816
2023-04-30,XLP,0.13296
2023-04-30,XLU,0.049286
2023-04-30,XLV,0.077522
2023-04-30,XLY,0.055861
2023-05-31,XLB,0.098987
2023-05-31,XLE,-0.034517
2023-05-31,XLF,-0.012808
2023-05-31,XLI,0.069216
2023-05-31,XLK,0.185524
2023-05-31,XLP,0.077446
2023-05-31,XLU,0.049016
2023-05-31,XLV,0.01397
2023-05-31,XLY,0.032489
2023-06-30,XLB,-0.083441
2023-06-30,XLE,-0.142257
2023-06-30,XLF,-0.115463
2023-06-30,XLI,-0.039415
2023-06-30,XLK,0.214491
2023-06-30,XLP,-0.047233
2023-06-30,XLU,-0.076683
2023-06-30,XLV,-0.0731
2023-06-30,XLY,0.043153
2023-07-31,XLB,0.076796
2023-07-31,XLE,-0.054254
2023-07-31,XLF,-0.004935
2023-07-31,XLI,0.101572
2023-07-31,XLK,0.403223
2023-07-31,XLP,0.006874
2023-07-31,XLU,-0.057331
2023-07-31,XLV,-0.015148
2023-07-31,XLY,0.321343
2023-08-31,XLB,0.02215
2023-08-31,XLE,-0.008424
2023-08-31,XLF,-0.024524
2023-08-31,XLI,0.092887
2023-08-31,XLK,0.317429
2023-08-31,XLP,0.03948
2023-08-31,XLU,-0.014066
2023-08-31,XLV,0.014006
2023-08-31,XLY,0.17434
2023-09-30,XLB,0.02239
2023-09-30,XLE,0.083067
2023-09-30,XLF,-0.028352
2023-09-30,XLI,0.080595
2023-09-30,XLK,0.29231
2023-09-30,XLP,0.022252
2023-09-30,XLU,-0.01631
2023-09-30,XLV,0.055934
2023-09-30,XLY,0.17898
2023-10-31,XLB,-0.016829
2023-10-31,XLE,0.108892
2023-10-31,XLF,0.041136
2023-10-31,XLI,0.010129
2023-10-31,XLK,0.090184
2023-10-31,XLP,-0.066086
2023-10-31,XLU,-0.115322
2023-10-31,XLV,0.00268
2023-10-31,XLY,0.080592
2023-11-30,XLB,-0.046352
2023-11-30,XLE,0.017098
2023-11-30,XLF,-0.015506
2023-11-30,XLI,-0.008366
2023-11-30,XLK,0.091918
2023-11-30,XLP,-0.111531
2023-11-30,XLU,-0.12047
2023-11-30,XLV,-0.059597
2023-11-30,XLY,0.032576
2023-12-31,XLB,0.109132
2023-12-31,XLE,0.122373
2023-12-31,XLF,0.140449
2023-12-31,XLI,0.114243
2023-12-31,XLK,0.131867
2023-12-31,XLP,-0.014185
2023-12-31,XLU,-0.017893
2023-12-31,XLV,0.035691
2023-12-31,XLY,0.11748
2024-01-31,XLB,0.04432
2024-01-31,XLE,0.050633
2024-01-31,XLF,0.125852
2024-01-31,XLI,0.072406
2024-01-31,XLK,0.111918
2024-01-31,XLP,-0.014817
2024-01-31,XLU,-0.015287
2024-01-31,XLV,0.036362
2024-01-31,XLY,0.056733
2024-02-29,XLB,-0.029549
2024-02-29,XLE,-0.030235
2024-02-29,XLF,0.107365
2024-02-29,XLI,0.032167
2024-02-29,XLK,0.113218
2024-02-29,XLP,-0.023471
2024-02-29,XLU,-0.067769
2024-02-29,XLV,0.055408
2024-02-29,XLY,-0.012715
2024-03-31,XLB,0.068755
2024-03-31,XLE,-0.014749
2024-03-31,XLF,0.184498
2024-03-31,XLI,0.128669
2024-03-31,XLK,0.183389
2024-03-31,XLP,0.037909
2024-03-31,XLU,0.0038
2024-03-31,XLV,0.096511
2024-03-31,XLY,0.084112
2024-04-30,XLB,0.195239
2024-04-30,XLE,0.063145
2024-04-30,XLF,0.280652
2024-04-30,XLI,0.253044
2024-04-30,XLK,0.275332
2024-04-30,XLP,0.126283
2024-04-30,XLU,0.134017
2024-04-30,XLV,0.156787
2024-04-30,XLY,0.14688
2024-05-31,XLB,0.177575
2024-05-31,XLE,0.117168
2024-05-31,XLF,0.258116
2024-05-31,XLI,0.246045
2024-05-31,XLK,0.201339
2024-05-31,XLP,0.129317
2024-05-31,XLU,0.137694
2024-05-31,XLV,0.135873
2024-05-31,XLY,0.159216
2024-06-30,XLB,0.122355
2024-06-30,XLE,0.121344
2024-06-30,XLF,0.170096
2024-06-30,XLI,0.163679
2024-06-30,XLK,0.139343
2024-06-30,XLP,0.111027
2024-06-30,XLU,0.179099
2024-06-30,XLV,0.103224
2024-06-30,XLY,0.046818
2024-07-31,XLB,0.04122
2024-07-31,XLE,0.104589
2024-07-31,XLF,0.101872
2024-07-31,XLI,0.076115
